date,youtube
2016-01-03,96.0
2016-01-04,96.14285714285714
2016-01-05,96.28571428571429
2016-01-06,96.42857142857143
2016-01-07,96.57142857142857
2016-01-08,96.71428571428571
2016-01-09,96.85714285714286
2016-01-10,97.0
2016-01-11,97.28571428571429
2016-01-12,97.57142857142857
2016-01-13,97.85714285714286
2016-01-14,98.14285714285714
2016-01-15,98.42857142857143
2016-01-16,98.71428571428571
2016-01-17,99.0
2016-01-18,98.85714285714286
2016-01-19,98.71428571428571
2016-01-20,98.57142857142857
2016-01-21,98.42857142857143
2016-01-22,98.28571428571429
2016-01-23,98.14285714285714
2016-01-24,98.0
2016-01-25,98.14285714285714
2016-01-26,98.28571428571429
2016-01-27,98.42857142857143
2016-01-28,98.57142857142857
2016-01-29,98.71428571428571
2016-01-30,98.85714285714286
2016-01-31,99.0
2016-02-01,98.85714285714286
2016-02-02,98.71428571428571
2016-02-03,98.57142857142857
2016-02-04,98.42857142857143
2016-02-05,98.28571428571429
2016-02-06,98.14285714285714
2016-02-07,98.0
2016-02-08,97.85714285714286
2016-02-09,97.71428571428571
2016-02-10,97.57142857142857
2016-02-11,97.42857142857143
2016-02-12,97.28571428571429
2016-02-13,97.14285714285714
2016-02-14,97.0
2016-02-15,97.14285714285714
2016-02-16,97.28571428571429
2016-02-17,97.42857142857143
2016-02-18,97.57142857142857
2016-02-19,97.71428571428571
2016-02-20,97.85714285714286
2016-02-21,98.0
2016-02-22,97.71428571428571
2016-02-23,97.42857142857143
2016-02-24,97.14285714285714
2016-02-25,96.85714285714286
2016-02-26,96.57142857142857
2016-02-27,96.28571428571429
2016-02-28,96.0
2016-02-29,96.42857142857143
2016-03-01,96.85714285714286
2016-03-02,97.28571428571429
2016-03-03,97.71428571428571
2016-03-04,98.14285714285714
2016-03-05,98.57142857142857
2016-03-06,99.0
2016-03-07,98.57142857142857
2016-03-08,98.14285714285714
2016-03-09,97.71428571428571
2016-03-10,97.28571428571429
2016-03-11,96.85714285714286
2016-03-12,96.42857142857143
2016-03-13,96.0
2016-03-14,96.42857142857143
2016-03-15,96.85714285714286
2016-03-16,97.28571428571429
2016-03-17,97.71428571428571
2016-03-18,98.14285714285714
2016-03-19,98.57142857142857
2016-03-20,99.0
2016-03-21,98.85714285714286
2016-03-22,98.71428571428571
2016-03-23,98.57142857142857
2016-03-24,98.42857142857143
2016-03-25,98.28571428571429
2016-03-26,98.14285714285714
2016-03-27,98.0
2016-03-28,97.28571428571429
2016-03-29,96.57142857142857
2016-03-30,95.85714285714286
2016-03-31,95.14285714285714
2016-04-01,94.42857142857143
2016-04-02,93.71428571428571
2016-04-03,93.0
2016-04-04,93.42857142857143
2016-04-05,93.85714285714286
2016-04-06,94.28571428571429
2016-04-07,94.71428571428571
2016-04-08,95.14285714285714
2016-04-09,95.57142857142857
2016-04-10,96.0
2016-04-11,96.14285714285714
2016-04-12,96.28571428571429
2016-04-13,96.42857142857143
2016-04-14,96.57142857142857
2016-04-15,96.71428571428571
2016-04-16,96.85714285714286
2016-04-17,97.0
2016-04-18,97.0
2016-04-19,97.0
2016-04-20,97.0
2016-04-21,97.0
2016-04-22,97.0
2016-04-23,97.0
2016-04-24,97.0
2016-04-25,97.28571428571429
2016-04-26,97.57142857142857
2016-04-27,97.85714285714286
2016-04-28,98.14285714285714
2016-04-29,98.42857142857143
2016-04-30,98.71428571428571
2016-05-01,99.0
2016-05-02,98.85714285714286
2016-05-03,98.71428571428571
2016-05-04,98.57142857142857
2016-05-05,98.42857142857143
2016-05-06,98.28571428571429
2016-05-07,98.14285714285714
2016-05-08,98.0
2016-05-09,97.71428571428571
2016-05-10,97.42857142857143
2016-05-11,97.14285714285714
2016-05-12,96.85714285714286
2016-05-13,96.57142857142857
2016-05-14,96.28571428571429
2016-05-15,96.0
2016-05-16,96.42857142857143
2016-05-17,96.85714285714286
2016-05-18,97.28571428571429
2016-05-19,97.71428571428571
2016-05-20,98.14285714285714
2016-05-21,98.57142857142857
2016-05-22,99.0
2016-05-23,99.0
2016-05-24,99.0
2016-05-25,99.0
2016-05-26,99.0
2016-05-27,99.0
2016-05-28,99.0
2016-05-29,99.0
2016-05-30,98.28571428571429
2016-05-31,97.57142857142857
2016-06-01,96.85714285714286
2016-06-02,96.14285714285714
2016-06-03,95.42857142857143
2016-06-04,94.71428571428571
2016-06-05,94.0
2016-06-06,94.28571428571429
2016-06-07,94.57142857142857
2016-06-08,94.85714285714286
2016-06-09,95.14285714285714
2016-06-10,95.42857142857143
2016-06-11,95.71428571428571
2016-06-12,96.0
2016-06-13,96.0
2016-06-14,96.0
2016-06-15,96.0
2016-06-16,96.0
2016-06-17,96.0
2016-06-18,96.0
2016-06-19,96.0
2016-06-20,96.14285714285714
2016-06-21,96.28571428571429
2016-06-22,96.42857142857143
2016-06-23,96.57142857142857
2016-06-24,96.71428571428571
2016-06-25,96.85714285714286
2016-06-26,97.0
2016-06-27,97.0
2016-06-28,97.0
2016-06-29,97.0
2016-06-30,97.0
2016-07-01,97.0
2016-07-02,97.0
2016-07-03,97.0
2016-07-04,96.71428571428571
2016-07-05,96.42857142857143
2016-07-06,96.14285714285714
2016-07-07,95.85714285714286
2016-07-08,95.57142857142857
2016-07-09,95.28571428571429
2016-07-10,95.0
2016-07-11,95.28571428571429
2016-07-12,95.57142857142857
2016-07-13,95.85714285714286
2016-07-14,96.14285714285714
2016-07-15,96.42857142857143
2016-07-16,96.71428571428571
2016-07-17,97.0
2016-07-18,97.0
2016-07-19,97.0
2016-07-20,97.0
2016-07-21,97.0
