date,google glass
2016-01-03,88.0
2016-01-04,88.14285714285714
2016-01-05,88.28571428571429
2016-01-06,88.42857142857143
2016-01-07,88.57142857142857
2016-01-08,88.71428571428571
2016-01-09,88.85714285714286
2016-01-10,89.0
2016-01-11,87.85714285714286
2016-01-12,86.71428571428571
2016-01-13,85.57142857142857
2016-01-14,84.42857142857143
2016-01-15,83.28571428571429
2016-01-16,82.14285714285714
2016-01-17,81.0
2016-01-18,83.71428571428571
2016-01-19,86.42857142857143
2016-01-20,89.14285714285714
2016-01-21,91.85714285714286
2016-01-22,94.57142857142857
2016-01-23,97.28571428571428
2016-01-24,100.0
2016-01-25,99.0
2016-01-26,98.0
2016-01-27,97.0
2016-01-28,96.0
2016-01-29,95.0
2016-01-30,94.0
2016-01-31,93.0
2016-02-01,91.57142857142857
2016-02-02,90.14285714285714
2016-02-03,88.71428571428571
2016-02-04,87.28571428571429
2016-02-05,85.85714285714286
2016-02-06,84.42857142857143
2016-02-07,83.0
2016-02-08,83.28571428571429
2016-02-09,83.57142857142857
2016-02-10,83.85714285714286
2016-02-11,84.14285714285714
2016-02-12,84.42857142857143
2016-02-13,84.71428571428571
2016-02-14,85.0
2016-02-15,85.71428571428571
2016-02-16,86.42857142857143
2016-02-17,87.14285714285714
2016-02-18,87.85714285714286
2016-02-19,88.57142857142857
2016-02-20,89.28571428571429
2016-02-21,90.0
2016-02-22,89.28571428571429
2016-02-23,88.57142857142857
2016-02-24,87.85714285714286
2016-02-25,87.14285714285714
2016-02-26,86.42857142857143
2016-02-27,85.71428571428571
2016-02-28,85.0
2016-02-29,84.14285714285714
2016-03-01,83.28571428571429
2016-03-02,82.42857142857143
2016-03-03,81.57142857142857
2016-03-04,80.71428571428571
2016-03-05,79.85714285714286
2016-03-06,79.0
2016-03-07,80.28571428571429
2016-03-08,81.57142857142857
2016-03-09,82.85714285714286
2016-03-10,84.14285714285714
2016-03-11,85.42857142857143
2016-03-12,86.71428571428572
2016-03-13,88.0
2016-03-14,88.0
2016-03-15,88.0
2016-03-16,88.0
2016-03-17,88.0
2016-03-18,88.0
2016-03-19,88.0
2016-03-20,88.0
2016-03-21,87.57142857142857
2016-03-22,87.14285714285714
2016-03-23,86.71428571428571
2016-03-24,86.28571428571429
2016-03-25,85.85714285714286
2016-03-26,85.42857142857143
2016-03-27,85.0
2016-03-28,84.42857142857143
2016-03-29,83.85714285714286
2016-03-30,83.28571428571429
2016-03-31,82.71428571428571
2016-04-01,82.14285714285714
2016-04-02,81.57142857142857
2016-04-03,81.0
2016-04-04,80.85714285714286
2016-04-05,80.71428571428571
2016-04-06,80.57142857142857
2016-04-07,80.42857142857143
2016-04-08,80.28571428571429
2016-04-09,80.14285714285714
2016-04-10,80.0
2016-04-11,80.57142857142857
2016-04-12,81.14285714285714
2016-04-13,81.71428571428571
2016-04-14,82.28571428571429
2016-04-15,82.85714285714286
2016-04-16,83.42857142857143
2016-04-17,84.0
2016-04-18,83.42857142857143
2016-04-19,82.85714285714286
2016-04-20,82.28571428571429
2016-04-21,81.71428571428571
2016-04-22,81.14285714285714
2016-04-23,80.57142857142857
2016-04-24,80.0
2016-04-25,80.28571428571429
2016-04-26,80.57142857142857
2016-04-27,80.85714285714286
2016-04-28,81.14285714285714
2016-04-29,81.42857142857143
2016-04-30,81.71428571428571
2016-05-01,82.0
2016-05-02,81.57142857142857
2016-05-03,81.14285714285714
2016-05-04,80.71428571428571
2016-05-05,80.28571428571429
2016-05-06,79.85714285714286
2016-05-07,79.42857142857143
2016-05-08,79.0
2016-05-09,78.28571428571429
2016-05-10,77.57142857142857
2016-05-11,76.85714285714286
2016-05-12,76.14285714285714
2016-05-13,75.42857142857143
2016-05-14,74.71428571428571
2016-05-15,74.0
2016-05-16,75.28571428571429
2016-05-17,76.57142857142857
2016-05-18,77.85714285714286
2016-05-19,79.14285714285714
2016-05-20,80.42857142857143
2016-05-21,81.71428571428572
2016-05-22,83.0
2016-05-23,82.85714285714286
2016-05-24,82.71428571428571
2016-05-25,82.57142857142857
2016-05-26,82.42857142857143
2016-05-27,82.28571428571429
2016-05-28,82.14285714285714
2016-05-29,82.0
2016-05-30,81.57142857142857
2016-05-31,81.14285714285714
2016-06-01,80.71428571428571
2016-06-02,80.28571428571429
2016-06-03,79.85714285714286
2016-06-04,79.42857142857143
2016-06-05,79.0
2016-06-06,77.85714285714286
2016-06-07,76.71428571428571
2016-06-08,75.57142857142857
2016-06-09,74.42857142857143
2016-06-10,73.28571428571429
2016-06-11,72.14285714285714
2016-06-12,71.0
2016-06-13,71.14285714285714
2016-06-14,71.28571428571429
2016-06-15,71.42857142857143
2016-06-16,71.57142857142857
2016-06-17,71.71428571428571
2016-06-18,71.85714285714286
2016-06-19,72.0
2016-06-20,71.57142857142857
2016-06-21,71.14285714285714
2016-06-22,70.71428571428571
2016-06-23,70.28571428571429
2016-06-24,69.85714285714286
2016-06-25,69.42857142857143
2016-06-26,69.0
2016-06-27,68.28571428571429
2016-06-28,67.57142857142857
2016-06-29,66.85714285714286
2016-06-30,66.14285714285714
2016-07-01,65.42857142857143
2016-07-02,64.71428571428571
2016-07-03,64.0
2016-07-04,64.57142857142857
2016-07-05,65.14285714285714
2016-07-06,65.71428571428571
2016-07-07,66.28571428571429
2016-07-08,66.85714285714286
2016-07-09,67.42857142857143
2016-07-10,68.0
2016-07-11,68.71428571428571
2016-07-12,69.42857142857143
2016-07-13,70.14285714285714
2016-07-14,70.85714285714286
2016-07-15,71.57142857142857
2016-07-16,72.28571428571429
2016-07-17,73.0
