date,google news
2016-01-03,69.0
2016-01-04,68.85714285714286
2016-01-05,68.71428571428571
2016-01-06,68.57142857142857
2016-01-07,68.42857142857143
2016-01-08,68.28571428571429
2016-01-09,68.14285714285714
2016-01-10,68.0
2016-01-11,67.71428571428571
2016-01-12,67.42857142857143
2016-01-13,67.14285714285714
2016-01-14,66.85714285714286
2016-01-15,66.57142857142857
2016-01-16,66.28571428571429
2016-01-17,66.0
2016-01-18,66.28571428571429
2016-01-19,66.57142857142857
2016-01-20,66.85714285714286
2016-01-21,67.14285714285714
2016-01-22,67.42857142857143
2016-01-23,67.71428571428571
2016-01-24,68.0
2016-01-25,68.14285714285714
2016-01-26,68.28571428571429
2016-01-27,68.42857142857143
2016-01-28,68.57142857142857
2016-01-29,68.71428571428571
2016-01-30,68.85714285714286
2016-01-31,69.0
2016-02-01,69.0
2016-02-02,69.0
2016-02-03,69.0
2016-02-04,69.0
2016-02-05,69.0
2016-02-06,69.0
2016-02-07,69.0
2016-02-08,68.85714285714286
2016-02-09,68.71428571428571
2016-02-10,68.57142857142857
2016-02-11,68.42857142857143
2016-02-12,68.28571428571429
2016-02-13,68.14285714285714
2016-02-14,68.0
2016-02-15,68.0
2016-02-16,68.0
2016-02-17,68.0
2016-02-18,68.0
2016-02-19,68.0
2016-02-20,68.0
2016-02-21,68.0
2016-02-22,68.14285714285714
2016-02-23,68.28571428571429
2016-02-24,68.42857142857143
2016-02-25,68.57142857142857
2016-02-26,68.71428571428571
2016-02-27,68.85714285714286
2016-02-28,69.0
2016-02-29,68.85714285714286
2016-03-01,68.71428571428571
2016-03-02,68.57142857142857
2016-03-03,68.42857142857143
2016-03-04,68.28571428571429
2016-03-05,68.14285714285714
2016-03-06,68.0
2016-03-07,68.0
2016-03-08,68.0
2016-03-09,68.0
2016-03-10,68.0
2016-03-11,68.0
2016-03-12,68.0
2016-03-13,68.0
2016-03-14,68.85714285714286
2016-03-15,69.71428571428571
2016-03-16,70.57142857142857
2016-03-17,71.42857142857143
2016-03-18,72.28571428571429
2016-03-19,73.14285714285714
2016-03-20,74.0
2016-03-21,73.42857142857143
2016-03-22,72.85714285714286
2016-03-23,72.28571428571429
2016-03-24,71.71428571428571
2016-03-25,71.14285714285714
2016-03-26,70.57142857142857
2016-03-27,70.0
2016-03-28,69.42857142857143
2016-03-29,68.85714285714286
2016-03-30,68.28571428571429
2016-03-31,67.71428571428571
2016-04-01,67.14285714285714
2016-04-02,66.57142857142857
2016-04-03,66.0
2016-04-04,65.71428571428571
2016-04-05,65.42857142857143
2016-04-06,65.14285714285714
2016-04-07,64.85714285714286
2016-04-08,64.57142857142857
2016-04-09,64.28571428571429
2016-04-10,64.0
2016-04-11,64.57142857142857
2016-04-12,65.14285714285714
2016-04-13,65.71428571428571
2016-04-14,66.28571428571429
2016-04-15,66.85714285714286
2016-04-16,67.42857142857143
2016-04-17,68.0
2016-04-18,67.42857142857143
2016-04-19,66.85714285714286
2016-04-20,66.28571428571429
2016-04-21,65.71428571428571
2016-04-22,65.14285714285714
2016-04-23,64.57142857142857
2016-04-24,64.0
2016-04-25,64.28571428571429
2016-04-26,64.57142857142857
2016-04-27,64.85714285714286
2016-04-28,65.14285714285714
2016-04-29,65.42857142857143
2016-04-30,65.71428571428571
2016-05-01,66.0
2016-05-02,65.85714285714286
2016-05-03,65.71428571428571
2016-05-04,65.57142857142857
2016-05-05,65.42857142857143
2016-05-06,65.28571428571429
2016-05-07,65.14285714285714
2016-05-08,65.0
2016-05-09,65.57142857142857
2016-05-10,66.14285714285714
2016-05-11,66.71428571428571
2016-05-12,67.28571428571429
2016-05-13,67.85714285714286
2016-05-14,68.42857142857143
2016-05-15,69.0
2016-05-16,68.42857142857143
2016-05-17,67.85714285714286
2016-05-18,67.28571428571429
2016-05-19,66.71428571428571
2016-05-20,66.14285714285714
2016-05-21,65.57142857142857
2016-05-22,65.0
2016-05-23,64.85714285714286
2016-05-24,64.71428571428571
2016-05-25,64.57142857142857
2016-05-26,64.42857142857143
2016-05-27,64.28571428571429
2016-05-28,64.14285714285714
2016-05-29,64.0
2016-05-30,64.14285714285714
2016-05-31,64.28571428571429
2016-06-01,64.42857142857143
2016-06-02,64.57142857142857
2016-06-03,64.71428571428571
2016-06-04,64.85714285714286
2016-06-05,65.0
2016-06-06,66.28571428571429
2016-06-07,67.57142857142857
2016-06-08,68.85714285714286
2016-06-09,70.14285714285714
2016-06-10,71.42857142857143
2016-06-11,72.71428571428572
2016-06-12,74.0
2016-06-13,74.42857142857143
2016-06-14,74.85714285714286
2016-06-15,75.28571428571429
2016-06-16,75.71428571428571
2016-06-17,76.14285714285714
2016-06-18,76.57142857142857
2016-06-19,77.0
2016-06-20,76.57142857142857
2016-06-21,76.14285714285714
2016-06-22,75.71428571428571
2016-06-23,75.28571428571429
2016-06-24,74.85714285714286
2016-06-25,74.42857142857143
2016-06-26,74.0
2016-06-27,74.57142857142857
2016-06-28,75.14285714285714
2016-06-29,75.71428571428571
2016-06-30,76.28571428571429
2016-07-01,76.85714285714286
2016-07-02,77.42857142857143
2016-07-03,78.0
2016-07-04,78.14285714285714
2016-07-05,78.28571428571429
2016-07-06,78.42857142857143
2016-07-07,78.57142857142857
2016-07-08,78.71428571428571
2016-07-09,78.85714285714286
2016-07-10,79.0
2016-07-11,79.14285714285714
2016-07-12,79.28571428571429
2016-07-13,79.42857142857143
2016-07-14,79.57142857142857
2016-07-15,79.71428571428571
2016-07-16,79.85714285714286
2016-07-17,80.0
2016-07-18,79.57142857142857
