date,google
2016-01-03,100.0
2016-01-04,99.85714285714286
2016-01-05,99.71428571428571
2016-01-06,99.57142857142857
2016-01-07,99.42857142857143
2016-01-08,99.28571428571429
2016-01-09,99.14285714285714
2016-01-10,99.0
2016-01-11,98.71428571428571
2016-01-12,98.42857142857143
2016-01-13,98.14285714285714
2016-01-14,97.85714285714286
2016-01-15,97.57142857142857
2016-01-16,97.28571428571429
2016-01-17,97.0
2016-01-18,97.42857142857143
2016-01-19,97.85714285714286
2016-01-20,98.28571428571429
2016-01-21,98.71428571428571
2016-01-22,99.14285714285714
2016-01-23,99.57142857142857
2016-01-24,100.0
2016-01-25,99.71428571428571
2016-01-26,99.42857142857143
2016-01-27,99.14285714285714
2016-01-28,98.85714285714286
2016-01-29,98.57142857142857
2016-01-30,98.28571428571429
2016-01-31,98.0
2016-02-01,97.71428571428571
2016-02-02,97.42857142857143
2016-02-03,97.14285714285714
2016-02-04,96.85714285714286
2016-02-05,96.57142857142857
2016-02-06,96.28571428571429
2016-02-07,96.0
2016-02-08,96.14285714285714
2016-02-09,96.28571428571429
2016-02-10,96.42857142857143
2016-02-11,96.57142857142857
2016-02-12,96.71428571428571
2016-02-13,96.85714285714286
2016-02-14,97.0
2016-02-15,97.14285714285714
2016-02-16,97.28571428571429
2016-02-17,97.42857142857143
2016-02-18,97.57142857142857
2016-02-19,97.71428571428571
2016-02-20,97.85714285714286
2016-02-21,98.0
2016-02-22,98.14285714285714
2016-02-23,98.28571428571429
2016-02-24,98.42857142857143
2016-02-25,98.57142857142857
2016-02-26,98.71428571428571
2016-02-27,98.85714285714286
2016-02-28,99.0
2016-02-29,98.85714285714286
2016-03-01,98.71428571428571
2016-03-02,98.57142857142857
2016-03-03,98.42857142857143
2016-03-04,98.28571428571429
2016-03-05,98.14285714285714
2016-03-06,98.0
2016-03-07,97.85714285714286
2016-03-08,97.71428571428571
2016-03-09,97.57142857142857
2016-03-10,97.42857142857143
2016-03-11,97.28571428571429
2016-03-12,97.14285714285714
2016-03-13,97.0
2016-03-14,96.85714285714286
2016-03-15,96.71428571428571
2016-03-16,96.57142857142857
2016-03-17,96.42857142857143
2016-03-18,96.28571428571429
2016-03-19,96.14285714285714
2016-03-20,96.0
2016-03-21,95.57142857142857
2016-03-22,95.14285714285714
2016-03-23,94.71428571428571
2016-03-24,94.28571428571429
2016-03-25,93.85714285714286
2016-03-26,93.42857142857143
2016-03-27,93.0
2016-03-28,93.14285714285714
2016-03-29,93.28571428571429
2016-03-30,93.42857142857143
2016-03-31,93.57142857142857
2016-04-01,93.71428571428571
2016-04-02,93.85714285714286
2016-04-03,94.0
2016-04-04,94.0
2016-04-05,94.0
2016-04-06,94.0
2016-04-07,94.0
2016-04-08,94.0
2016-04-09,94.0
2016-04-10,94.0
2016-04-11,94.14285714285714
2016-04-12,94.28571428571429
2016-04-13,94.42857142857143
2016-04-14,94.57142857142857
2016-04-15,94.71428571428571
2016-04-16,94.85714285714286
2016-04-17,95.0
2016-04-18,95.28571428571429
2016-04-19,95.57142857142857
2016-04-20,95.85714285714286
2016-04-21,96.14285714285714
2016-04-22,96.42857142857143
2016-04-23,96.71428571428571
2016-04-24,97.0
2016-04-25,96.57142857142857
2016-04-26,96.14285714285714
2016-04-27,95.71428571428571
2016-04-28,95.28571428571429
2016-04-29,94.85714285714286
2016-04-30,94.42857142857143
2016-05-01,94.0
2016-05-02,94.28571428571429
2016-05-03,94.57142857142857
2016-05-04,94.85714285714286
2016-05-05,95.14285714285714
2016-05-06,95.42857142857143
2016-05-07,95.71428571428571
2016-05-08,96.0
2016-05-09,95.85714285714286
2016-05-10,95.71428571428571
2016-05-11,95.57142857142857
2016-05-12,95.42857142857143
2016-05-13,95.28571428571429
2016-05-14,95.14285714285714
2016-05-15,95.0
2016-05-16,94.28571428571429
2016-05-17,93.57142857142857
2016-05-18,92.85714285714286
2016-05-19,92.14285714285714
2016-05-20,91.42857142857143
2016-05-21,90.71428571428571
2016-05-22,90.0
2016-05-23,89.85714285714286
2016-05-24,89.71428571428571
2016-05-25,89.57142857142857
2016-05-26,89.42857142857143
2016-05-27,89.28571428571429
2016-05-28,89.14285714285714
2016-05-29,89.0
2016-05-30,88.85714285714286
2016-05-31,88.71428571428571
2016-06-01,88.57142857142857
2016-06-02,88.42857142857143
2016-06-03,88.28571428571429
2016-06-04,88.14285714285714
2016-06-05,88.0
2016-06-06,87.85714285714286
2016-06-07,87.71428571428571
2016-06-08,87.57142857142857
2016-06-09,87.42857142857143
2016-06-10,87.28571428571429
2016-06-11,87.14285714285714
2016-06-12,87.0
2016-06-13,87.0
2016-06-14,87.0
2016-06-15,87.0
2016-06-16,87.0
2016-06-17,87.0
2016-06-18,87.0
2016-06-19,87.0
2016-06-20,86.71428571428571
2016-06-21,86.42857142857143
2016-06-22,86.14285714285714
2016-06-23,85.85714285714286
2016-06-24,85.57142857142857
2016-06-25,85.28571428571429
2016-06-26,85.0
2016-06-27,85.14285714285714
2016-06-28,85.28571428571429
2016-06-29,85.42857142857143
2016-06-30,85.57142857142857
2016-07-01,85.71428571428571
2016-07-02,85.85714285714286
2016-07-03,86.0
2016-07-04,86.0
2016-07-05,86.0
2016-07-06,86.0
2016-07-07,86.0
2016-07-08,86.0
2016-07-09,86.0
2016-07-10,86.0
2016-07-11,85.85714285714286
2016-07-12,85.71428571428571
2016-07-13,85.57142857142857
2016-07-14,85.42857142857143
2016-07-15,85.28571428571429
2016-07-16,85.14285714285714
2016-07-17,85.0
2016-07-18,85.28571428571429
