date,pixel
2016-08-11,15.0
2016-08-12,15.0
2016-08-13,15.0
2016-08-14,15.0
2016-08-15,15.142857142857142
2016-08-16,15.285714285714286
2016-08-17,15.428571428571429
2016-08-18,15.571428571428571
2016-08-19,15.714285714285714
2016-08-20,15.857142857142858
2016-08-21,16.0
2016-08-22,16.0
2016-08-23,16.0
2016-08-24,16.0
2016-08-25,16.0
2016-08-26,16.0
2016-08-27,16.0
2016-08-28,16.0
2016-08-29,16.285714285714285
2016-08-30,16.571428571428573
2016-08-31,16.857142857142858
2016-09-01,17.142857142857142
2016-09-02,17.428571428571427
2016-09-03,17.714285714285715
2016-09-04,18.0
2016-09-05,18.285714285714285
2016-09-06,18.571428571428573
2016-09-07,18.857142857142858
2016-09-08,19.142857142857142
2016-09-09,19.428571428571427
2016-09-10,19.714285714285715
2016-09-11,20.0
2016-09-12,20.428571428571427
2016-09-13,20.857142857142858
2016-09-14,21.285714285714285
2016-09-15,21.714285714285715
2016-09-16,22.142857142857142
2016-09-17,22.57142857142857
2016-09-18,23.0
2016-09-19,23.142857142857142
2016-09-20,23.285714285714285
2016-09-21,23.428571428571427
2016-09-22,23.571428571428573
2016-09-23,23.714285714285715
2016-09-24,23.857142857142858
2016-09-25,24.0
2016-09-26,34.85714285714286
2016-09-27,45.714285714285715
2016-09-28,56.57142857142857
2016-09-29,67.42857142857143
2016-09-30,78.28571428571429
2016-10-01,89.14285714285714
2016-10-02,100.0
2016-10-03,93.14285714285714
2016-10-04,86.28571428571429
2016-10-05,79.42857142857143
2016-10-06,72.57142857142857
2016-10-07,65.71428571428572
2016-10-08,58.85714285714286
2016-10-09,52.0
2016-10-10,52.285714285714285
2016-10-11,52.57142857142857
2016-10-12,52.857142857142854
2016-10-13,53.142857142857146
2016-10-14,53.42857142857143
2016-10-15,53.714285714285715
2016-10-16,54.0
2016-10-17,53.285714285714285
2016-10-18,52.57142857142857
2016-10-19,51.857142857142854
2016-10-20,51.142857142857146
2016-10-21,50.42857142857143
2016-10-22,49.714285714285715
2016-10-23,49.0
2016-10-24,48.0
2016-10-25,47.0
2016-10-26,46.0
2016-10-27,45.0
2016-10-28,44.0
2016-10-29,43.0
2016-10-30,42.0
2016-10-31,41.57142857142857
2016-11-01,41.142857142857146
2016-11-02,40.714285714285715
2016-11-03,40.285714285714285
2016-11-04,39.857142857142854
2016-11-05,39.42857142857143
2016-11-06,39.0
2016-11-07,39.0
2016-11-08,39.0
2016-11-09,39.0
2016-11-10,39.0
2016-11-11,39.0
2016-11-12,39.0
2016-11-13,39.0
2016-11-14,39.42857142857143
2016-11-15,39.857142857142854
2016-11-16,40.285714285714285
2016-11-17,40.714285714285715
2016-11-18,41.142857142857146
2016-11-19,41.57142857142857
2016-11-20,42.0
2016-11-21,41.57142857142857
2016-11-22,41.142857142857146
2016-11-23,40.714285714285715
2016-11-24,40.285714285714285
2016-11-25,39.857142857142854
2016-11-26,39.42857142857143
2016-11-27,39.0
2016-11-28,38.714285714285715
2016-11-29,38.42857142857143
2016-11-30,38.142857142857146
2016-12-01,37.857142857142854
2016-12-02,37.57142857142857
2016-12-03,37.285714285714285
2016-12-04,37.0
2016-12-05,37.142857142857146
2016-12-06,37.285714285714285
2016-12-07,37.42857142857143
2016-12-08,37.57142857142857
2016-12-09,37.714285714285715
2016-12-10,37.857142857142854
2016-12-11,38.0
2016-12-12,38.142857142857146
2016-12-13,38.285714285714285
2016-12-14,38.42857142857143
2016-12-15,38.57142857142857
2016-12-16,38.714285714285715
2016-12-17,38.857142857142854
2016-12-18,39.0
2016-12-19,38.714285714285715
2016-12-20,38.42857142857143
2016-12-21,38.142857142857146
2016-12-22,37.857142857142854
2016-12-23,37.57142857142857
2016-12-24,37.285714285714285
2016-12-25,37.0
2016-12-26,36.285714285714285
2016-12-27,35.57142857142857
2016-12-28,34.857142857142854
2016-12-29,34.142857142857146
2016-12-30,33.42857142857143
2016-12-31,32.714285714285715
2017-01-01,32.0
2017-01-02,31.857142857142858
2017-01-03,31.714285714285715
2017-01-04,31.571428571428573
2017-01-05,31.428571428571427
2017-01-06,31.285714285714285
2017-01-07,31.142857142857142
2017-01-08,31.0
2017-01-09,31.142857142857142
2017-01-10,31.285714285714285
2017-01-11,31.428571428571427
2017-01-12,31.571428571428573
2017-01-13,31.714285714285715
2017-01-14,31.857142857142858
2017-01-15,32.0
2017-01-16,32.0
2017-01-17,32.0
2017-01-18,32.0
2017-01-19,32.0
2017-01-20,32.0
2017-01-21,32.0
2017-01-22,32.0
2017-01-23,31.714285714285715
2017-01-24,31.428571428571427
2017-01-25,31.142857142857142
2017-01-26,30.857142857142858
2017-01-27,30.571428571428573
2017-01-28,30.285714285714285
2017-01-29,30.0
2017-01-30,30.142857142857142
2017-01-31,30.285714285714285
2017-02-01,30.428571428571427
2017-02-02,30.571428571428573
2017-02-03,30.714285714285715
2017-02-04,30.857142857142858
2017-02-05,31.0
2017-02-06,30.857142857142858
2017-02-07,30.714285714285715
2017-02-08,30.571428571428573
2017-02-09,30.428571428571427
2017-02-10,30.285714285714285
2017-02-11,30.142857142857142
2017-02-12,30.0
2017-02-13,30.142857142857142
2017-02-14,30.285714285714285
2017-02-15,30.428571428571427
2017-02-16,30.571428571428573
2017-02-17,30.714285714285715
2017-02-18,30.857142857142858
2017-02-19,31.0
2017-02-20,30.857142857142858
2017-02-21,30.714285714285715
2017-02-22,30.571428571428573
2017-02-23,30.428571428571427
2017-02-24,30.285714285714285
2017-02-25,30.142857142857142
2017-02-26,30.0
2017-02-27,29.857142857142858
2017-02-28,29.714285714285715
2017-03-01,29.571428571428573
2017-03-02,29.428571428571427
2017-03-03,29.285714285714285
2017-03-04,29.142857142857142
2017-03-05,29.0
2017-03-06,28.857142857142858
2017-03-07,28.714285714285715
2017-03-08,28.571428571428573
2017-03-09,28.428571428571427
2017-03-10,28.285714285714285
2017-03-11,28.142857142857142
2017-03-12,28.0
2017-03-13,28.142857142857142
2017-03-14,28.285714285714285
2017-03-15,28.428571428571427
2017-03-16,28.571428571428573
2017-03-17,28.714285714285715
2017-03-18,28.857142857142858
2017-03-19,29.0
2017-03-20,29.0
2017-03-21,29.0
2017-03-22,29.0
2017-03-23,29.0
2017-03-24,29.0
2017-03-25,29.0
2017-03-26,29.0
2017-03-27,28.857142857142858
2017-03-28,28.714285714285715
2017-03-29,28.571428571428573
2017-03-30,28.428571428571427
2017-03-31,28.285714285714285
2017-04-01,28.142857142857142
2017-04-02,28.0
2017-04-03,27.857142857142858
2017-04-04,27.714285714285715
2017-04-05,27.571428571428573
2017-04-06,27.428571428571427
2017-04-07,27.285714285714285
2017-04-08,27.142857142857142
2017-04-09,27.0
2017-04-10,26.857142857142858
2017-04-11,26.714285714285715
2017-04-12,26.571428571428573
2017-04-13,26.428571428571427
2017-04-14,26.285714285714285
2017-04-15,26.142857142857142
2017-04-16,26.0
2017-04-17,25.857142857142858
2017-04-18,25.714285714285715
2017-04-19,25.571428571428573
2017-04-20,25.428571428571427
2017-04-21,25.285714285714285
2017-04-22,25.142857142857142
2017-04-23,25.0
2017-04-24,25.0
2017-04-25,25.0
2017-04-26,25.0
2017-04-27,25.0
2017-04-28,25.0
2017-04-29,25.0
2017-04-30,25.0
2017-05-01,24.857142857142858
2017-05-02,24.714285714285715
2017-05-03,24.571428571428573
2017-05-04,24.428571428571427
2017-05-05,24.285714285714285
2017-05-06,24.142857142857142
2017-05-07,24.0
2017-05-08,24.0
2017-05-09,24.0
2017-05-10,24.0
2017-05-11,24.0
2017-05-12,24.0
2017-05-13,24.0
2017-05-14,24.0
