time,googl,amzn,aapl,fb,dji,sp500,nasdaq,spy,fdn,ivw,iyw,vug,AI,android,android vr,apple,enterprise software,facebook,gmail,google assistant,google glass,google news,google play,google,IaaS,pixel,self-driving car,uber,virtual reality,youtube
2016-01-04,759.4400019999999,636.98999,100.626175,102.220001,17148.939453,2012.660034,4903.089844,192.270966,72.33000200000001,110.118095,102.968788,101.599083,89.85714285714286,85.42857142857143,12.142857142857142,51.28571428571429,62.28571428571429,99.42857142857143,91.14285714285714,4.857142857142857,88.14285714285714,68.85714285714286,84.42857142857143,99.85714285714286,55.57142857142857,16.0,13.571428571428573,46.714285714285715,24.57142857142857,96.14285714285714
2016-01-05,761.530029,633.789978,98.104546,102.730003,17158.660156,2016.709961,4891.430176,192.596176,72.08000200000001,110.331047,102.451012,101.61853,89.7142857142857,84.85714285714286,12.285714285714285,50.57142857142857,62.57142857142857,98.85714285714286,91.28571428571428,4.714285714285714,88.2857142857143,68.71428571428571,83.85714285714286,99.71428571428572,56.14285714285714,16.0,14.142857142857142,46.42857142857143,24.142857142857146,96.28571428571428
2016-01-06,759.330017,632.650024,96.18465400000001,102.970001,16906.509766,1990.2600100000002,4835.759765999999,190.166733,71.66999799999999,109.120979,101.141914,100.501198,89.57142857142857,84.28571428571429,12.428571428571427,49.85714285714285,62.85714285714285,98.28571428571428,91.42857142857143,4.571428571428571,88.42857142857143,68.57142857142857,83.28571428571429,99.57142857142857,56.714285714285715,16.0,14.714285714285715,46.14285714285714,23.714285714285715,96.42857142857143
2016-01-07,741.0,607.9400019999999,92.125244,97.91999799999999,16514.099609,1943.089966,4689.430176,185.60433999999998,69.010002,106.352303,97.820328,97.916763,89.42857142857143,83.71428571428571,12.571428571428573,49.14285714285714,63.14285714285714,97.71428571428572,91.57142857142857,4.428571428571429,88.57142857142857,68.42857142857143,82.71428571428571,99.42857142857143,57.28571428571429,16.0,15.285714285714285,45.85714285714285,23.285714285714285,96.57142857142857
2016-01-08,730.909973,607.049988,92.612358,97.33000200000001,16346.450195,1922.030029,4643.629883,183.567032,68.220001,105.32614099999999,97.048553,97.00346400000001,89.2857142857143,83.14285714285714,12.714285714285715,48.42857142857143,63.42857142857143,97.14285714285714,91.71428571428572,4.285714285714286,88.7142857142857,68.28571428571429,82.14285714285714,99.28571428571428,57.85714285714285,16.0,15.857142857142858,45.57142857142857,22.857142857142854,96.71428571428572
2016-01-09,731.6299843333334,610.613322,93.11223333333334,97.39000200000001,16363.823567666666,1922.5767006666667,4641.75,183.62761966666667,68.17999999999999,105.422948,97.214635,97.03585566666668,89.14285714285714,82.57142857142857,12.857142857142858,47.714285714285715,63.714285714285715,96.57142857142857,91.85714285714286,4.142857142857143,88.85714285714286,68.14285714285714,81.57142857142857,99.14285714285714,58.42857142857143,16.0,16.428571428571427,45.28571428571429,22.42857142857143,96.85714285714286
2016-01-10,732.3499956666667,614.176656,93.61210866666666,97.450002,16381.196940333333,1923.1233723333335,4639.870117,183.68820733333334,68.139999,105.519755,97.38071699999999,97.06824733333333,89.0,82.0,13.0,47.0,64.0,96.0,92.0,4.0,89.0,68.0,81.0,99.0,59.0,16.0,17.0,45.0,22.0,97.0
2016-01-11,733.070007,617.73999,94.11198399999999,97.510002,16398.570313,1923.6700440000002,4637.990234000001,183.748795,68.099998,105.61656200000002,97.546799,97.100639,89.0,81.85714285714286,13.0,46.85714285714285,64.0,96.28571428571428,92.28571428571428,4.142857142857143,87.85714285714286,67.71428571428571,81.28571428571429,98.71428571428572,59.42857142857143,16.142857142857142,16.0,46.14285714285714,21.571428571428577,97.28571428571428
2016-01-12,745.340027,617.8900150000001,95.477859,99.370003,16516.220703,1938.680054,4685.919922,185.231293,68.690002,106.691116,98.75819399999999,97.994499,89.0,81.71428571428571,13.0,46.714285714285715,64.0,96.57142857142857,92.57142857142857,4.285714285714286,86.7142857142857,67.42857142857143,81.57142857142857,98.42857142857143,59.85714285714285,16.285714285714285,15.0,47.28571428571429,21.142857142857142,97.57142857142857
2016-01-13,719.570007,581.8099980000001,93.023087,95.440002,16151.410156,1890.280029,4526.060059,180.611511,65.82,103.709457,95.876251,95.070015,89.0,81.57142857142857,13.0,46.57142857142857,64.0,96.85714285714286,92.85714285714286,4.428571428571429,85.57142857142857,67.14285714285714,81.85714285714286,98.14285714285714,60.28571428571429,16.428571428571427,14.0,48.42857142857143,20.714285714285715,97.85714285714286
2016-01-14,731.3900150000001,593.0,95.057579,98.370003,16379.049805,1921.839966,4615.0,183.576599,67.099998,105.40358,97.820328,96.537109,89.0,81.42857142857143,13.0,46.42857142857143,64.0,97.14285714285714,93.14285714285714,4.571428571428571,84.42857142857143,66.85714285714286,82.14285714285714,97.85714285714286,60.714285714285715,16.571428571428573,13.0,49.57142857142857,20.285714285714285,98.14285714285714
2016-01-15,710.48999,570.179993,92.77475,94.970001,15988.080078,1880.3299559999998,4488.419922,179.63591,64.940002,103.06085999999999,94.703926,94.564789,89.0,81.28571428571429,13.0,46.28571428571429,64.0,97.42857142857143,93.42857142857143,4.714285714285714,83.28571428571429,66.57142857142857,82.42857142857143,97.57142857142857,61.14285714285714,16.714285714285715,12.0,50.714285714285715,19.857142857142858,98.42857142857143
2016-01-16,712.6374967500001,571.2549897499999,92.66251575,95.04250125,15995.06494125,1880.5799559999998,4485.55249025,179.69569024999998,64.940002,103.13346125,94.65263925,94.567217,89.0,81.14285714285714,13.0,46.14285714285714,64.0,97.71428571428572,93.71428571428572,4.857142857142857,82.14285714285714,66.28571428571429,82.71428571428571,97.28571428571428,61.57142857142857,16.857142857142858,11.0,51.85714285714285,19.42857142857143,98.71428571428572
2016-01-17,714.7850035,572.3299864999999,92.5502815,95.1150015,16002.0498045,1880.8299559999998,4482.6850585,179.7554705,64.940002,103.2060625,94.60135249999999,94.56964500000001,89.0,81.0,13.0,46.0,64.0,98.0,94.0,5.0,81.0,66.0,83.0,97.0,62.0,17.0,10.0,53.0,19.0,99.0
2016-01-18,716.93251025,573.40498325,92.43804725,95.18750175,16009.03466775,1881.0799559999998,4479.81762675,179.81525075000002,64.940002,103.27866374999999,94.55006575,94.572073,89.0,81.0,12.714285714285715,46.42857142857143,64.42857142857143,98.28571428571428,94.28571428571428,5.0,83.71428571428571,66.28571428571429,83.14285714285714,97.42857142857143,62.0,17.0,9.571428571428571,53.14285714285714,19.0,98.85714285714286
