date,facebook
2016-07-28,91.57142857142857
2016-07-29,91.71428571428571
2016-07-30,91.85714285714286
2016-07-31,92.0
2016-08-01,91.85714285714286
2016-08-02,91.71428571428571
2016-08-03,91.57142857142857
2016-08-04,91.42857142857143
2016-08-05,91.28571428571429
2016-08-06,91.14285714285714
2016-08-07,91.0
2016-08-08,91.14285714285714
2016-08-09,91.28571428571429
2016-08-10,91.42857142857143
2016-08-11,91.57142857142857
2016-08-12,91.71428571428571
2016-08-13,91.85714285714286
2016-08-14,92.0
2016-08-15,91.28571428571429
2016-08-16,90.57142857142857
2016-08-17,89.85714285714286
2016-08-18,89.14285714285714
2016-08-19,88.42857142857143
2016-08-20,87.71428571428571
2016-08-21,87.0
2016-08-22,87.0
2016-08-23,87.0
2016-08-24,87.0
2016-08-25,87.0
2016-08-26,87.0
2016-08-27,87.0
2016-08-28,87.0
2016-08-29,86.28571428571429
2016-08-30,85.57142857142857
2016-08-31,84.85714285714286
2016-09-01,84.14285714285714
2016-09-02,83.42857142857143
2016-09-03,82.71428571428571
2016-09-04,82.0
2016-09-05,82.28571428571429
2016-09-06,82.57142857142857
2016-09-07,82.85714285714286
2016-09-08,83.14285714285714
2016-09-09,83.42857142857143
2016-09-10,83.71428571428571
2016-09-11,84.0
2016-09-12,83.71428571428571
2016-09-13,83.42857142857143
2016-09-14,83.14285714285714
2016-09-15,82.85714285714286
2016-09-16,82.57142857142857
2016-09-17,82.28571428571429
2016-09-18,82.0
2016-09-19,82.28571428571429
2016-09-20,82.57142857142857
2016-09-21,82.85714285714286
2016-09-22,83.14285714285714
2016-09-23,83.42857142857143
2016-09-24,83.71428571428571
2016-09-25,84.0
2016-09-26,83.71428571428571
2016-09-27,83.42857142857143
2016-09-28,83.14285714285714
2016-09-29,82.85714285714286
2016-09-30,82.57142857142857
2016-10-01,82.28571428571429
2016-10-02,82.0
2016-10-03,82.28571428571429
2016-10-04,82.57142857142857
2016-10-05,82.85714285714286
2016-10-06,83.14285714285714
2016-10-07,83.42857142857143
2016-10-08,83.71428571428571
2016-10-09,84.0
2016-10-10,84.0
2016-10-11,84.0
2016-10-12,84.0
2016-10-13,84.0
2016-10-14,84.0
2016-10-15,84.0
2016-10-16,84.0
2016-10-17,83.28571428571429
2016-10-18,82.57142857142857
2016-10-19,81.85714285714286
2016-10-20,81.14285714285714
2016-10-21,80.42857142857143
2016-10-22,79.71428571428571
2016-10-23,79.0
2016-10-24,78.85714285714286
2016-10-25,78.71428571428571
2016-10-26,78.57142857142857
2016-10-27,78.42857142857143
2016-10-28,78.28571428571429
2016-10-29,78.14285714285714
2016-10-30,78.0
2016-10-31,77.85714285714286
2016-11-01,77.71428571428571
2016-11-02,77.57142857142857
2016-11-03,77.42857142857143
2016-11-04,77.28571428571429
2016-11-05,77.14285714285714
2016-11-06,77.0
2016-11-07,76.85714285714286
2016-11-08,76.71428571428571
2016-11-09,76.57142857142857
2016-11-10,76.42857142857143
2016-11-11,76.28571428571429
2016-11-12,76.14285714285714
2016-11-13,76.0
2016-11-14,76.0
2016-11-15,76.0
2016-11-16,76.0
2016-11-17,76.0
2016-11-18,76.0
2016-11-19,76.0
2016-11-20,76.0
2016-11-21,76.14285714285714
2016-11-22,76.28571428571429
2016-11-23,76.42857142857143
2016-11-24,76.57142857142857
2016-11-25,76.71428571428571
2016-11-26,76.85714285714286
2016-11-27,77.0
2016-11-28,76.85714285714286
2016-11-29,76.71428571428571
2016-11-30,76.57142857142857
2016-12-01,76.42857142857143
2016-12-02,76.28571428571429
2016-12-03,76.14285714285714
2016-12-04,76.0
2016-12-05,76.0
2016-12-06,76.0
2016-12-07,76.0
2016-12-08,76.0
2016-12-09,76.0
2016-12-10,76.0
2016-12-11,76.0
2016-12-12,76.57142857142857
2016-12-13,77.14285714285714
2016-12-14,77.71428571428571
2016-12-15,78.28571428571429
2016-12-16,78.85714285714286
2016-12-17,79.42857142857143
2016-12-18,80.0
2016-12-19,80.0
2016-12-20,80.0
2016-12-21,80.0
2016-12-22,80.0
2016-12-23,80.0
2016-12-24,80.0
2016-12-25,80.0
2016-12-26,79.71428571428571
2016-12-27,79.42857142857143
2016-12-28,79.14285714285714
2016-12-29,78.85714285714286
2016-12-30,78.57142857142857
2016-12-31,78.28571428571429
2017-01-01,78.0
2017-01-02,77.42857142857143
2017-01-03,76.85714285714286
2017-01-04,76.28571428571429
2017-01-05,75.71428571428571
2017-01-06,75.14285714285714
2017-01-07,74.57142857142857
2017-01-08,74.0
2017-01-09,74.0
2017-01-10,74.0
2017-01-11,74.0
2017-01-12,74.0
2017-01-13,74.0
2017-01-14,74.0
2017-01-15,74.0
2017-01-16,74.28571428571429
2017-01-17,74.57142857142857
2017-01-18,74.85714285714286
2017-01-19,75.14285714285714
2017-01-20,75.42857142857143
2017-01-21,75.71428571428571
2017-01-22,76.0
2017-01-23,75.57142857142857
2017-01-24,75.14285714285714
2017-01-25,74.71428571428571
2017-01-26,74.28571428571429
2017-01-27,73.85714285714286
2017-01-28,73.42857142857143
2017-01-29,73.0
2017-01-30,73.0
2017-01-31,73.0
2017-02-01,73.0
2017-02-02,73.0
2017-02-03,73.0
2017-02-04,73.0
2017-02-05,73.0
2017-02-06,73.0
2017-02-07,73.0
2017-02-08,73.0
2017-02-09,73.0
2017-02-10,73.0
2017-02-11,73.0
2017-02-12,73.0
2017-02-13,73.0
2017-02-14,73.0
2017-02-15,73.0
2017-02-16,73.0
2017-02-17,73.0
2017-02-18,73.0
2017-02-19,73.0
2017-02-20,73.14285714285714
2017-02-21,73.28571428571429
2017-02-22,73.42857142857143
2017-02-23,73.57142857142857
2017-02-24,73.71428571428571
2017-02-25,73.85714285714286
2017-02-26,74.0
2017-02-27,73.42857142857143
2017-02-28,72.85714285714286
2017-03-01,72.28571428571429
2017-03-02,71.71428571428571
2017-03-03,71.14285714285714
2017-03-04,70.57142857142857
2017-03-05,70.0
2017-03-06,70.0
2017-03-07,70.0
2017-03-08,70.0
2017-03-09,70.0
2017-03-10,70.0
2017-03-11,70.0
2017-03-12,70.0
2017-03-13,70.42857142857143
2017-03-14,70.85714285714286
2017-03-15,71.28571428571429
2017-03-16,71.71428571428571
2017-03-17,72.14285714285714
2017-03-18,72.57142857142857
2017-03-19,73.0
2017-03-20,72.85714285714286
2017-03-21,72.71428571428571
2017-03-22,72.57142857142857
2017-03-23,72.42857142857143
2017-03-24,72.28571428571429
2017-03-25,72.14285714285714
2017-03-26,72.0
2017-03-27,72.0
2017-03-28,72.0
2017-03-29,72.0
2017-03-30,72.0
2017-03-31,72.0
2017-04-01,72.0
2017-04-02,72.0
2017-04-03,72.28571428571429
2017-04-04,72.57142857142857
2017-04-05,72.85714285714286
2017-04-06,73.14285714285714
2017-04-07,73.42857142857143
2017-04-08,73.71428571428571
2017-04-09,74.0
2017-04-10,73.85714285714286
2017-04-11,73.71428571428571
2017-04-12,73.57142857142857
2017-04-13,73.42857142857143
2017-04-14,73.28571428571429
2017-04-15,73.14285714285714
2017-04-16,73.0
2017-04-17,72.57142857142857
2017-04-18,72.14285714285714
2017-04-19,71.71428571428571
2017-04-20,71.28571428571429
2017-04-21,70.85714285714286
2017-04-22,70.42857142857143
2017-04-23,70.0
2017-04-24,70.42857142857143
2017-04-25,70.85714285714286
2017-04-26,71.28571428571429
2017-04-27,71.71428571428571
2017-04-28,72.14285714285714
