date,gmail
2016-01-03,91.0
2016-01-04,91.14285714285714
2016-01-05,91.28571428571429
2016-01-06,91.42857142857143
2016-01-07,91.57142857142857
2016-01-08,91.71428571428571
2016-01-09,91.85714285714286
2016-01-10,92.0
2016-01-11,92.28571428571429
2016-01-12,92.57142857142857
2016-01-13,92.85714285714286
2016-01-14,93.14285714285714
2016-01-15,93.42857142857143
2016-01-16,93.71428571428571
2016-01-17,94.0
2016-01-18,94.28571428571429
2016-01-19,94.57142857142857
2016-01-20,94.85714285714286
2016-01-21,95.14285714285714
2016-01-22,95.42857142857143
2016-01-23,95.71428571428571
2016-01-24,96.0
2016-01-25,95.85714285714286
2016-01-26,95.71428571428571
2016-01-27,95.57142857142857
2016-01-28,95.42857142857143
2016-01-29,95.28571428571429
2016-01-30,95.14285714285714
2016-01-31,95.0
2016-02-01,94.57142857142857
2016-02-02,94.14285714285714
2016-02-03,93.71428571428571
2016-02-04,93.28571428571429
2016-02-05,92.85714285714286
2016-02-06,92.42857142857143
2016-02-07,92.0
2016-02-08,93.0
2016-02-09,94.0
2016-02-10,95.0
2016-02-11,96.0
2016-02-12,97.0
2016-02-13,98.0
2016-02-14,99.0
2016-02-15,98.85714285714286
2016-02-16,98.71428571428571
2016-02-17,98.57142857142857
2016-02-18,98.42857142857143
2016-02-19,98.28571428571429
2016-02-20,98.14285714285714
2016-02-21,98.0
2016-02-22,98.28571428571429
2016-02-23,98.57142857142857
2016-02-24,98.85714285714286
2016-02-25,99.14285714285714
2016-02-26,99.42857142857143
2016-02-27,99.71428571428571
2016-02-28,100.0
2016-02-29,99.71428571428571
2016-03-01,99.42857142857143
2016-03-02,99.14285714285714
2016-03-03,98.85714285714286
2016-03-04,98.57142857142857
2016-03-05,98.28571428571429
2016-03-06,98.0
2016-03-07,98.0
2016-03-08,98.0
2016-03-09,98.0
2016-03-10,98.0
2016-03-11,98.0
2016-03-12,98.0
2016-03-13,98.0
2016-03-14,96.42857142857143
2016-03-15,94.85714285714286
2016-03-16,93.28571428571429
2016-03-17,91.71428571428571
2016-03-18,90.14285714285714
2016-03-19,88.57142857142857
2016-03-20,87.0
2016-03-21,88.14285714285714
2016-03-22,89.28571428571429
2016-03-23,90.42857142857143
2016-03-24,91.57142857142857
2016-03-25,92.71428571428571
2016-03-26,93.85714285714286
2016-03-27,95.0
2016-03-28,95.42857142857143
2016-03-29,95.85714285714286
2016-03-30,96.28571428571429
2016-03-31,96.71428571428571
2016-04-01,97.14285714285714
2016-04-02,97.57142857142857
2016-04-03,98.0
2016-04-04,97.85714285714286
2016-04-05,97.71428571428571
2016-04-06,97.57142857142857
2016-04-07,97.42857142857143
2016-04-08,97.28571428571429
2016-04-09,97.14285714285714
2016-04-10,97.0
2016-04-11,96.42857142857143
2016-04-12,95.85714285714286
2016-04-13,95.28571428571429
2016-04-14,94.71428571428571
2016-04-15,94.14285714285714
2016-04-16,93.57142857142857
2016-04-17,93.0
2016-04-18,93.14285714285714
2016-04-19,93.28571428571429
2016-04-20,93.42857142857143
2016-04-21,93.57142857142857
2016-04-22,93.71428571428571
2016-04-23,93.85714285714286
2016-04-24,94.0
2016-04-25,94.0
2016-04-26,94.0
2016-04-27,94.0
2016-04-28,94.0
2016-04-29,94.0
2016-04-30,94.0
2016-05-01,94.0
2016-05-02,94.42857142857143
2016-05-03,94.85714285714286
2016-05-04,95.28571428571429
2016-05-05,95.71428571428571
2016-05-06,96.14285714285714
2016-05-07,96.57142857142857
2016-05-08,97.0
2016-05-09,96.85714285714286
2016-05-10,96.71428571428571
2016-05-11,96.57142857142857
2016-05-12,96.42857142857143
2016-05-13,96.28571428571429
2016-05-14,96.14285714285714
2016-05-15,96.0
2016-05-16,96.0
2016-05-17,96.0
2016-05-18,96.0
2016-05-19,96.0
2016-05-20,96.0
2016-05-21,96.0
2016-05-22,96.0
2016-05-23,95.85714285714286
2016-05-24,95.71428571428571
2016-05-25,95.57142857142857
2016-05-26,95.42857142857143
2016-05-27,95.28571428571429
2016-05-28,95.14285714285714
2016-05-29,95.0
2016-05-30,94.57142857142857
2016-05-31,94.14285714285714
2016-06-01,93.71428571428571
2016-06-02,93.28571428571429
2016-06-03,92.85714285714286
2016-06-04,92.42857142857143
2016-06-05,92.0
2016-06-06,91.85714285714286
2016-06-07,91.71428571428571
2016-06-08,91.57142857142857
2016-06-09,91.42857142857143
2016-06-10,91.28571428571429
2016-06-11,91.14285714285714
2016-06-12,91.0
2016-06-13,90.85714285714286
2016-06-14,90.71428571428571
2016-06-15,90.57142857142857
2016-06-16,90.42857142857143
2016-06-17,90.28571428571429
2016-06-18,90.14285714285714
2016-06-19,90.0
2016-06-20,89.85714285714286
2016-06-21,89.71428571428571
2016-06-22,89.57142857142857
2016-06-23,89.42857142857143
2016-06-24,89.28571428571429
2016-06-25,89.14285714285714
2016-06-26,89.0
2016-06-27,88.28571428571429
2016-06-28,87.57142857142857
2016-06-29,86.85714285714286
2016-06-30,86.14285714285714
2016-07-01,85.42857142857143
2016-07-02,84.71428571428571
2016-07-03,84.0
2016-07-04,84.28571428571429
2016-07-05,84.57142857142857
2016-07-06,84.85714285714286
2016-07-07,85.14285714285714
2016-07-08,85.42857142857143
2016-07-09,85.71428571428571
2016-07-10,86.0
2016-07-11,85.85714285714286
2016-07-12,85.71428571428571
2016-07-13,85.57142857142857
2016-07-14,85.42857142857143
2016-07-15,85.28571428571429
2016-07-16,85.14285714285714
2016-07-17,85.0
2016-07-18,85.0
2016-07-19,85.0
2016-07-20,85.0
2016-07-21,85.0
