date,android vr
2016-01-03,12.0
2016-01-04,12.142857142857142
2016-01-05,12.285714285714286
2016-01-06,12.428571428571429
2016-01-07,12.571428571428571
2016-01-08,12.714285714285714
2016-01-09,12.857142857142858
2016-01-10,13.0
2016-01-11,13.0
2016-01-12,13.0
2016-01-13,13.0
2016-01-14,13.0
2016-01-15,13.0
2016-01-16,13.0
2016-01-17,13.0
2016-01-18,12.714285714285714
2016-01-19,12.428571428571429
2016-01-20,12.142857142857142
2016-01-21,11.857142857142858
2016-01-22,11.571428571428571
2016-01-23,11.285714285714286
2016-01-24,11.0
2016-01-25,11.285714285714286
2016-01-26,11.571428571428571
2016-01-27,11.857142857142858
2016-01-28,12.142857142857142
2016-01-29,12.428571428571429
2016-01-30,12.714285714285714
2016-01-31,13.0
2016-02-01,12.857142857142858
2016-02-02,12.714285714285714
2016-02-03,12.571428571428571
2016-02-04,12.428571428571429
2016-02-05,12.285714285714286
2016-02-06,12.142857142857142
2016-02-07,12.0
2016-02-08,12.285714285714286
2016-02-09,12.571428571428571
2016-02-10,12.857142857142858
2016-02-11,13.142857142857142
2016-02-12,13.428571428571429
2016-02-13,13.714285714285714
2016-02-14,14.0
2016-02-15,14.428571428571429
2016-02-16,14.857142857142858
2016-02-17,15.285714285714285
2016-02-18,15.714285714285714
2016-02-19,16.142857142857142
2016-02-20,16.57142857142857
2016-02-21,17.0
2016-02-22,17.142857142857142
2016-02-23,17.285714285714285
2016-02-24,17.428571428571427
2016-02-25,17.571428571428573
2016-02-26,17.714285714285715
2016-02-27,17.857142857142858
2016-02-28,18.0
2016-02-29,18.428571428571427
2016-03-01,18.857142857142858
2016-03-02,19.285714285714285
2016-03-03,19.714285714285715
2016-03-04,20.142857142857142
2016-03-05,20.57142857142857
2016-03-06,21.0
2016-03-07,21.428571428571427
2016-03-08,21.857142857142858
2016-03-09,22.285714285714285
2016-03-10,22.714285714285715
2016-03-11,23.142857142857142
2016-03-12,23.57142857142857
2016-03-13,24.0
2016-03-14,24.0
2016-03-15,24.0
2016-03-16,24.0
2016-03-17,24.0
2016-03-18,24.0
2016-03-19,24.0
2016-03-20,24.0
2016-03-21,24.142857142857142
2016-03-22,24.285714285714285
2016-03-23,24.428571428571427
2016-03-24,24.571428571428573
2016-03-25,24.714285714285715
2016-03-26,24.857142857142858
2016-03-27,25.0
2016-03-28,25.142857142857142
2016-03-29,25.285714285714285
2016-03-30,25.428571428571427
2016-03-31,25.571428571428573
2016-04-01,25.714285714285715
2016-04-02,25.857142857142858
2016-04-03,26.0
2016-04-04,25.285714285714285
2016-04-05,24.571428571428573
2016-04-06,23.857142857142858
2016-04-07,23.142857142857142
2016-04-08,22.428571428571427
2016-04-09,21.714285714285715
2016-04-10,21.0
2016-04-11,21.285714285714285
2016-04-12,21.571428571428573
2016-04-13,21.857142857142858
2016-04-14,22.142857142857142
2016-04-15,22.428571428571427
2016-04-16,22.714285714285715
2016-04-17,23.0
2016-04-18,23.285714285714285
2016-04-19,23.571428571428573
2016-04-20,23.857142857142858
2016-04-21,24.142857142857142
2016-04-22,24.428571428571427
2016-04-23,24.714285714285715
2016-04-24,25.0
2016-04-25,24.428571428571427
2016-04-26,23.857142857142858
2016-04-27,23.285714285714285
2016-04-28,22.714285714285715
2016-04-29,22.142857142857142
2016-04-30,21.571428571428573
2016-05-01,21.0
2016-05-02,21.571428571428573
2016-05-03,22.142857142857142
2016-05-04,22.714285714285715
2016-05-05,23.285714285714285
2016-05-06,23.857142857142858
2016-05-07,24.428571428571427
2016-05-08,25.0
2016-05-09,25.571428571428573
2016-05-10,26.142857142857142
2016-05-11,26.714285714285715
2016-05-12,27.285714285714285
2016-05-13,27.857142857142858
2016-05-14,28.428571428571427
2016-05-15,29.0
2016-05-16,28.571428571428573
2016-05-17,28.142857142857142
2016-05-18,27.714285714285715
2016-05-19,27.285714285714285
2016-05-20,26.857142857142858
2016-05-21,26.42857142857143
2016-05-22,26.0
2016-05-23,25.857142857142858
2016-05-24,25.714285714285715
2016-05-25,25.571428571428573
2016-05-26,25.428571428571427
2016-05-27,25.285714285714285
2016-05-28,25.142857142857142
2016-05-29,25.0
2016-05-30,24.714285714285715
2016-05-31,24.428571428571427
2016-06-01,24.142857142857142
2016-06-02,23.857142857142858
2016-06-03,23.571428571428573
2016-06-04,23.285714285714285
2016-06-05,23.0
2016-06-06,24.0
2016-06-07,25.0
2016-06-08,26.0
2016-06-09,27.0
2016-06-10,28.0
2016-06-11,29.0
2016-06-12,30.0
2016-06-13,30.285714285714285
2016-06-14,30.571428571428573
2016-06-15,30.857142857142858
2016-06-16,31.142857142857142
2016-06-17,31.428571428571427
2016-06-18,31.714285714285715
2016-06-19,32.0
2016-06-20,31.714285714285715
2016-06-21,31.428571428571427
2016-06-22,31.142857142857142
2016-06-23,30.857142857142858
2016-06-24,30.571428571428573
2016-06-25,30.285714285714285
2016-06-26,30.0
2016-06-27,30.285714285714285
2016-06-28,30.571428571428573
2016-06-29,30.857142857142858
2016-06-30,31.142857142857142
2016-07-01,31.428571428571427
2016-07-02,31.714285714285715
2016-07-03,32.0
2016-07-04,31.714285714285715
2016-07-05,31.428571428571427
2016-07-06,31.142857142857142
2016-07-07,30.857142857142858
2016-07-08,30.571428571428573
2016-07-09,30.285714285714285
2016-07-10,30.0
2016-07-11,29.857142857142858
2016-07-12,29.714285714285715
2016-07-13,29.571428571428573
2016-07-14,29.428571428571427
2016-07-15,29.285714285714285
2016-07-16,29.142857142857142
2016-07-17,29.0
2016-07-18,28.571428571428573
