date,uber
2016-01-03,47.0
2016-01-04,46.714285714285715
2016-01-05,46.42857142857143
2016-01-06,46.142857142857146
2016-01-07,45.857142857142854
2016-01-08,45.57142857142857
2016-01-09,45.285714285714285
2016-01-10,45.0
2016-01-11,46.142857142857146
2016-01-12,47.285714285714285
2016-01-13,48.42857142857143
2016-01-14,49.57142857142857
2016-01-15,50.714285714285715
2016-01-16,51.857142857142854
2016-01-17,53.0
2016-01-18,53.142857142857146
2016-01-19,53.285714285714285
2016-01-20,53.42857142857143
2016-01-21,53.57142857142857
2016-01-22,53.714285714285715
2016-01-23,53.857142857142854
2016-01-24,54.0
2016-01-25,54.42857142857143
2016-01-26,54.857142857142854
2016-01-27,55.285714285714285
2016-01-28,55.714285714285715
2016-01-29,56.142857142857146
2016-01-30,56.57142857142857
2016-01-31,57.0
2016-02-01,56.285714285714285
2016-02-02,55.57142857142857
2016-02-03,54.857142857142854
2016-02-04,54.142857142857146
2016-02-05,53.42857142857143
2016-02-06,52.714285714285715
2016-02-07,52.0
2016-02-08,51.857142857142854
2016-02-09,51.714285714285715
2016-02-10,51.57142857142857
2016-02-11,51.42857142857143
2016-02-12,51.285714285714285
2016-02-13,51.142857142857146
2016-02-14,51.0
2016-02-15,52.0
2016-02-16,53.0
2016-02-17,54.0
2016-02-18,55.0
2016-02-19,56.0
2016-02-20,57.0
2016-02-21,58.0
2016-02-22,56.857142857142854
2016-02-23,55.714285714285715
2016-02-24,54.57142857142857
2016-02-25,53.42857142857143
2016-02-26,52.285714285714285
2016-02-27,51.142857142857146
2016-02-28,50.0
2016-02-29,50.285714285714285
2016-03-01,50.57142857142857
2016-03-02,50.857142857142854
2016-03-03,51.142857142857146
2016-03-04,51.42857142857143
2016-03-05,51.714285714285715
2016-03-06,52.0
2016-03-07,52.285714285714285
2016-03-08,52.57142857142857
2016-03-09,52.857142857142854
2016-03-10,53.142857142857146
2016-03-11,53.42857142857143
2016-03-12,53.714285714285715
2016-03-13,54.0
2016-03-14,54.0
2016-03-15,54.0
2016-03-16,54.0
2016-03-17,54.0
2016-03-18,54.0
2016-03-19,54.0
2016-03-20,54.0
2016-03-21,54.857142857142854
2016-03-22,55.714285714285715
2016-03-23,56.57142857142857
2016-03-24,57.42857142857143
2016-03-25,58.285714285714285
2016-03-26,59.14285714285714
2016-03-27,60.0
2016-03-28,59.857142857142854
2016-03-29,59.714285714285715
2016-03-30,59.57142857142857
2016-03-31,59.42857142857143
2016-04-01,59.285714285714285
2016-04-02,59.142857142857146
2016-04-03,59.0
2016-04-04,59.42857142857143
2016-04-05,59.857142857142854
2016-04-06,60.285714285714285
2016-04-07,60.714285714285715
2016-04-08,61.142857142857146
2016-04-09,61.57142857142857
2016-04-10,62.0
2016-04-11,61.714285714285715
2016-04-12,61.42857142857143
2016-04-13,61.142857142857146
2016-04-14,60.857142857142854
2016-04-15,60.57142857142857
2016-04-16,60.285714285714285
2016-04-17,60.0
2016-04-18,60.142857142857146
2016-04-19,60.285714285714285
2016-04-20,60.42857142857143
2016-04-21,60.57142857142857
2016-04-22,60.714285714285715
2016-04-23,60.857142857142854
2016-04-24,61.0
2016-04-25,61.0
2016-04-26,61.0
2016-04-27,61.0
2016-04-28,61.0
2016-04-29,61.0
2016-04-30,61.0
2016-05-01,61.0
2016-05-02,61.714285714285715
2016-05-03,62.42857142857143
2016-05-04,63.142857142857146
2016-05-05,63.857142857142854
2016-05-06,64.57142857142857
2016-05-07,65.28571428571429
2016-05-08,66.0
2016-05-09,66.57142857142857
2016-05-10,67.14285714285714
2016-05-11,67.71428571428571
2016-05-12,68.28571428571429
2016-05-13,68.85714285714286
2016-05-14,69.42857142857143
2016-05-15,70.0
2016-05-16,69.14285714285714
2016-05-17,68.28571428571429
2016-05-18,67.42857142857143
2016-05-19,66.57142857142857
2016-05-20,65.71428571428571
2016-05-21,64.85714285714286
2016-05-22,64.0
2016-05-23,64.14285714285714
2016-05-24,64.28571428571429
2016-05-25,64.42857142857143
2016-05-26,64.57142857142857
2016-05-27,64.71428571428571
2016-05-28,64.85714285714286
2016-05-29,65.0
2016-05-30,64.71428571428571
2016-05-31,64.42857142857143
2016-06-01,64.14285714285714
2016-06-02,63.857142857142854
2016-06-03,63.57142857142857
2016-06-04,63.285714285714285
2016-06-05,63.0
2016-06-06,63.0
2016-06-07,63.0
2016-06-08,63.0
2016-06-09,63.0
2016-06-10,63.0
2016-06-11,63.0
2016-06-12,63.0
2016-06-13,63.57142857142857
2016-06-14,64.14285714285714
2016-06-15,64.71428571428571
2016-06-16,65.28571428571429
2016-06-17,65.85714285714286
2016-06-18,66.42857142857143
2016-06-19,67.0
2016-06-20,67.57142857142857
2016-06-21,68.14285714285714
2016-06-22,68.71428571428571
2016-06-23,69.28571428571429
2016-06-24,69.85714285714286
2016-06-25,70.42857142857143
2016-06-26,71.0
2016-06-27,70.71428571428571
2016-06-28,70.42857142857143
2016-06-29,70.14285714285714
2016-06-30,69.85714285714286
2016-07-01,69.57142857142857
2016-07-02,69.28571428571429
2016-07-03,69.0
2016-07-04,69.57142857142857
2016-07-05,70.14285714285714
2016-07-06,70.71428571428571
2016-07-07,71.28571428571429
2016-07-08,71.85714285714286
2016-07-09,72.42857142857143
2016-07-10,73.0
2016-07-11,72.85714285714286
2016-07-12,72.71428571428571
2016-07-13,72.57142857142857
2016-07-14,72.42857142857143
2016-07-15,72.28571428571429
2016-07-16,72.14285714285714
2016-07-17,72.0
2016-07-18,72.14285714285714
2016-07-19,72.28571428571429
2016-07-20,72.42857142857143
