date,google assistant
2016-08-17,5.428571428571429
2016-08-18,5.571428571428571
2016-08-19,5.714285714285714
2016-08-20,5.857142857142857
2016-08-21,6.0
2016-08-22,5.857142857142857
2016-08-23,5.714285714285714
2016-08-24,5.571428571428571
2016-08-25,5.428571428571429
2016-08-26,5.285714285714286
2016-08-27,5.142857142857143
2016-08-28,5.0
2016-08-29,5.0
2016-08-30,5.0
2016-08-31,5.0
2016-09-01,5.0
2016-09-02,5.0
2016-09-03,5.0
2016-09-04,5.0
2016-09-05,5.0
2016-09-06,5.0
2016-09-07,5.0
2016-09-08,5.0
2016-09-09,5.0
2016-09-10,5.0
2016-09-11,5.0
2016-09-12,5.714285714285714
2016-09-13,6.428571428571429
2016-09-14,7.142857142857142
2016-09-15,7.857142857142858
2016-09-16,8.571428571428571
2016-09-17,9.285714285714285
2016-09-18,10.0
2016-09-19,10.0
2016-09-20,10.0
2016-09-21,10.0
2016-09-22,10.0
2016-09-23,10.0
2016-09-24,10.0
2016-09-25,10.0
2016-09-26,11.428571428571429
2016-09-27,12.857142857142858
2016-09-28,14.285714285714285
2016-09-29,15.714285714285715
2016-09-30,17.142857142857142
2016-10-01,18.57142857142857
2016-10-02,20.0
2016-10-03,19.285714285714285
2016-10-04,18.571428571428573
2016-10-05,17.857142857142858
2016-10-06,17.142857142857142
2016-10-07,16.428571428571427
2016-10-08,15.714285714285715
2016-10-09,15.0
2016-10-10,15.714285714285714
2016-10-11,16.428571428571427
2016-10-12,17.142857142857142
2016-10-13,17.857142857142858
2016-10-14,18.571428571428573
2016-10-15,19.285714285714285
2016-10-16,20.0
2016-10-17,19.857142857142858
2016-10-18,19.714285714285715
2016-10-19,19.571428571428573
2016-10-20,19.428571428571427
2016-10-21,19.285714285714285
2016-10-22,19.142857142857142
2016-10-23,19.0
2016-10-24,18.571428571428573
2016-10-25,18.142857142857142
2016-10-26,17.714285714285715
2016-10-27,17.285714285714285
2016-10-28,16.857142857142858
2016-10-29,16.42857142857143
2016-10-30,16.0
2016-10-31,15.714285714285714
2016-11-01,15.428571428571429
2016-11-02,15.142857142857142
2016-11-03,14.857142857142858
2016-11-04,14.571428571428571
2016-11-05,14.285714285714286
2016-11-06,14.0
2016-11-07,14.142857142857142
2016-11-08,14.285714285714286
2016-11-09,14.428571428571429
2016-11-10,14.571428571428571
2016-11-11,14.714285714285714
2016-11-12,14.857142857142858
2016-11-13,15.0
2016-11-14,15.0
2016-11-15,15.0
2016-11-16,15.0
2016-11-17,15.0
2016-11-18,15.0
2016-11-19,15.0
2016-11-20,15.0
2016-11-21,15.142857142857142
2016-11-22,15.285714285714286
2016-11-23,15.428571428571429
2016-11-24,15.571428571428571
2016-11-25,15.714285714285714
2016-11-26,15.857142857142858
2016-11-27,16.0
2016-11-28,15.857142857142858
2016-11-29,15.714285714285714
2016-11-30,15.571428571428571
2016-12-01,15.428571428571429
2016-12-02,15.285714285714286
