date,AI
2016-01-03,90.0
2016-01-04,89.85714285714286
2016-01-05,89.71428571428571
2016-01-06,89.57142857142857
2016-01-07,89.42857142857143
2016-01-08,89.28571428571429
2016-01-09,89.14285714285714
2016-01-10,89.0
2016-01-11,89.0
2016-01-12,89.0
2016-01-13,89.0
2016-01-14,89.0
2016-01-15,89.0
2016-01-16,89.0
2016-01-17,89.0
2016-01-18,89.0
2016-01-19,89.0
2016-01-20,89.0
2016-01-21,89.0
2016-01-22,89.0
2016-01-23,89.0
2016-01-24,89.0
2016-01-25,87.85714285714286
2016-01-26,86.71428571428571
2016-01-27,85.57142857142857
2016-01-28,84.42857142857143
2016-01-29,83.28571428571429
2016-01-30,82.14285714285714
2016-01-31,81.0
2016-02-01,81.28571428571429
2016-02-02,81.57142857142857
2016-02-03,81.85714285714286
2016-02-04,82.14285714285714
2016-02-05,82.42857142857143
2016-02-06,82.71428571428571
2016-02-07,83.0
2016-02-08,83.42857142857143
2016-02-09,83.85714285714286
2016-02-10,84.28571428571429
2016-02-11,84.71428571428571
2016-02-12,85.14285714285714
2016-02-13,85.57142857142857
2016-02-14,86.0
2016-02-15,86.42857142857143
2016-02-16,86.85714285714286
2016-02-17,87.28571428571429
2016-02-18,87.71428571428571
2016-02-19,88.14285714285714
2016-02-20,88.57142857142857
2016-02-21,89.0
2016-02-22,88.71428571428571
2016-02-23,88.42857142857143
2016-02-24,88.14285714285714
2016-02-25,87.85714285714286
2016-02-26,87.57142857142857
2016-02-27,87.28571428571429
2016-02-28,87.0
2016-02-29,87.85714285714286
2016-03-01,88.71428571428571
2016-03-02,89.57142857142857
2016-03-03,90.42857142857143
2016-03-04,91.28571428571429
2016-03-05,92.14285714285714
2016-03-06,93.0
2016-03-07,92.42857142857143
2016-03-08,91.85714285714286
2016-03-09,91.28571428571429
2016-03-10,90.71428571428571
2016-03-11,90.14285714285714
2016-03-12,89.57142857142857
2016-03-13,89.0
2016-03-14,89.28571428571429
2016-03-15,89.57142857142857
2016-03-16,89.85714285714286
2016-03-17,90.14285714285714
2016-03-18,90.42857142857143
2016-03-19,90.71428571428571
2016-03-20,91.0
2016-03-21,90.85714285714286
2016-03-22,90.71428571428571
2016-03-23,90.57142857142857
2016-03-24,90.42857142857143
2016-03-25,90.28571428571429
2016-03-26,90.14285714285714
2016-03-27,90.0
2016-03-28,89.28571428571429
2016-03-29,88.57142857142857
2016-03-30,87.85714285714286
2016-03-31,87.14285714285714
2016-04-01,86.42857142857143
2016-04-02,85.71428571428571
2016-04-03,85.0
2016-04-04,85.14285714285714
2016-04-05,85.28571428571429
2016-04-06,85.42857142857143
2016-04-07,85.57142857142857
2016-04-08,85.71428571428571
2016-04-09,85.85714285714286
2016-04-10,86.0
2016-04-11,85.57142857142857
2016-04-12,85.14285714285714
2016-04-13,84.71428571428571
2016-04-14,84.28571428571429
2016-04-15,83.85714285714286
2016-04-16,83.42857142857143
2016-04-17,83.0
2016-04-18,83.14285714285714
2016-04-19,83.28571428571429
2016-04-20,83.42857142857143
2016-04-21,83.57142857142857
2016-04-22,83.71428571428571
2016-04-23,83.85714285714286
2016-04-24,84.0
2016-04-25,83.85714285714286
2016-04-26,83.71428571428571
2016-04-27,83.57142857142857
2016-04-28,83.42857142857143
2016-04-29,83.28571428571429
2016-04-30,83.14285714285714
2016-05-01,83.0
2016-05-02,83.42857142857143
2016-05-03,83.85714285714286
2016-05-04,84.28571428571429
2016-05-05,84.71428571428571
2016-05-06,85.14285714285714
2016-05-07,85.57142857142857
2016-05-08,86.0
2016-05-09,86.14285714285714
2016-05-10,86.28571428571429
2016-05-11,86.42857142857143
2016-05-12,86.57142857142857
2016-05-13,86.71428571428571
2016-05-14,86.85714285714286
2016-05-15,87.0
2016-05-16,87.0
2016-05-17,87.0
2016-05-18,87.0
2016-05-19,87.0
2016-05-20,87.0
2016-05-21,87.0
2016-05-22,87.0
2016-05-23,87.0
2016-05-24,87.0
2016-05-25,87.0
2016-05-26,87.0
2016-05-27,87.0
2016-05-28,87.0
2016-05-29,87.0
2016-05-30,87.0
2016-05-31,87.0
2016-06-01,87.0
2016-06-02,87.0
2016-06-03,87.0
2016-06-04,87.0
2016-06-05,87.0
2016-06-06,86.42857142857143
2016-06-07,85.85714285714286
2016-06-08,85.28571428571429
2016-06-09,84.71428571428571
2016-06-10,84.14285714285714
2016-06-11,83.57142857142857
2016-06-12,83.0
2016-06-13,83.42857142857143
2016-06-14,83.85714285714286
2016-06-15,84.28571428571429
2016-06-16,84.71428571428571
2016-06-17,85.14285714285714
2016-06-18,85.57142857142857
2016-06-19,86.0
2016-06-20,85.71428571428571
2016-06-21,85.42857142857143
2016-06-22,85.14285714285714
2016-06-23,84.85714285714286
2016-06-24,84.57142857142857
2016-06-25,84.28571428571429
2016-06-26,84.0
2016-06-27,84.14285714285714
2016-06-28,84.28571428571429
2016-06-29,84.42857142857143
2016-06-30,84.57142857142857
2016-07-01,84.71428571428571
2016-07-02,84.85714285714286
2016-07-03,85.0
2016-07-04,84.57142857142857
2016-07-05,84.14285714285714
2016-07-06,83.71428571428571
2016-07-07,83.28571428571429
2016-07-08,82.85714285714286
2016-07-09,82.42857142857143
2016-07-10,82.0
2016-07-11,82.14285714285714
2016-07-12,82.28571428571429
2016-07-13,82.42857142857143
2016-07-14,82.57142857142857
2016-07-15,82.71428571428571
2016-07-16,82.85714285714286
2016-07-17,83.0
2016-07-18,82.85714285714286
2016-07-19,82.71428571428571
2016-07-20,82.57142857142857
2016-07-21,82.42857142857143
2016-07-22,82.28571428571429
