date,enterprise software
2016-01-03,62.0
2016-01-04,62.285714285714285
2016-01-05,62.57142857142857
2016-01-06,62.857142857142854
2016-01-07,63.142857142857146
2016-01-08,63.42857142857143
2016-01-09,63.714285714285715
2016-01-10,64.0
2016-01-11,64.0
2016-01-12,64.0
2016-01-13,64.0
2016-01-14,64.0
2016-01-15,64.0
2016-01-16,64.0
2016-01-17,64.0
2016-01-18,64.42857142857143
2016-01-19,64.85714285714286
2016-01-20,65.28571428571429
2016-01-21,65.71428571428571
2016-01-22,66.14285714285714
2016-01-23,66.57142857142857
2016-01-24,67.0
2016-01-25,67.42857142857143
2016-01-26,67.85714285714286
2016-01-27,68.28571428571429
2016-01-28,68.71428571428571
2016-01-29,69.14285714285714
2016-01-30,69.57142857142857
2016-01-31,70.0
2016-02-01,69.71428571428571
2016-02-02,69.42857142857143
2016-02-03,69.14285714285714
2016-02-04,68.85714285714286
2016-02-05,68.57142857142857
2016-02-06,68.28571428571429
2016-02-07,68.0
2016-02-08,67.42857142857143
2016-02-09,66.85714285714286
2016-02-10,66.28571428571429
2016-02-11,65.71428571428571
2016-02-12,65.14285714285714
2016-02-13,64.57142857142857
2016-02-14,64.0
2016-02-15,64.85714285714286
2016-02-16,65.71428571428571
2016-02-17,66.57142857142857
2016-02-18,67.42857142857143
2016-02-19,68.28571428571429
2016-02-20,69.14285714285714
2016-02-21,70.0
2016-02-22,70.0
2016-02-23,70.0
2016-02-24,70.0
2016-02-25,70.0
2016-02-26,70.0
2016-02-27,70.0
2016-02-28,70.0
2016-02-29,69.71428571428571
2016-03-01,69.42857142857143
2016-03-02,69.14285714285714
2016-03-03,68.85714285714286
2016-03-04,68.57142857142857
2016-03-05,68.28571428571429
2016-03-06,68.0
2016-03-07,68.57142857142857
2016-03-08,69.14285714285714
2016-03-09,69.71428571428571
2016-03-10,70.28571428571429
2016-03-11,70.85714285714286
2016-03-12,71.42857142857143
2016-03-13,72.0
2016-03-14,70.42857142857143
2016-03-15,68.85714285714286
2016-03-16,67.28571428571429
2016-03-17,65.71428571428571
2016-03-18,64.14285714285714
2016-03-19,62.57142857142857
2016-03-20,61.0
2016-03-21,61.714285714285715
2016-03-22,62.42857142857143
2016-03-23,63.142857142857146
2016-03-24,63.857142857142854
2016-03-25,64.57142857142857
2016-03-26,65.28571428571429
2016-03-27,66.0
2016-03-28,66.14285714285714
2016-03-29,66.28571428571429
2016-03-30,66.42857142857143
2016-03-31,66.57142857142857
2016-04-01,66.71428571428571
2016-04-02,66.85714285714286
2016-04-03,67.0
2016-04-04,66.85714285714286
2016-04-05,66.71428571428571
2016-04-06,66.57142857142857
2016-04-07,66.42857142857143
2016-04-08,66.28571428571429
2016-04-09,66.14285714285714
2016-04-10,66.0
2016-04-11,65.57142857142857
2016-04-12,65.14285714285714
2016-04-13,64.71428571428571
2016-04-14,64.28571428571429
2016-04-15,63.857142857142854
2016-04-16,63.42857142857143
2016-04-17,63.0
2016-04-18,62.714285714285715
2016-04-19,62.42857142857143
2016-04-20,62.142857142857146
2016-04-21,61.857142857142854
2016-04-22,61.57142857142857
2016-04-23,61.285714285714285
2016-04-24,61.0
2016-04-25,61.714285714285715
2016-04-26,62.42857142857143
2016-04-27,63.142857142857146
2016-04-28,63.857142857142854
2016-04-29,64.57142857142857
2016-04-30,65.28571428571429
2016-05-01,66.0
2016-05-02,65.71428571428571
2016-05-03,65.42857142857143
2016-05-04,65.14285714285714
2016-05-05,64.85714285714286
2016-05-06,64.57142857142857
2016-05-07,64.28571428571429
2016-05-08,64.0
2016-05-09,63.714285714285715
2016-05-10,63.42857142857143
2016-05-11,63.142857142857146
2016-05-12,62.857142857142854
2016-05-13,62.57142857142857
2016-05-14,62.285714285714285
2016-05-15,62.0
2016-05-16,62.0
2016-05-17,62.0
2016-05-18,62.0
2016-05-19,62.0
2016-05-20,62.0
2016-05-21,62.0
2016-05-22,62.0
2016-05-23,61.714285714285715
2016-05-24,61.42857142857143
2016-05-25,61.142857142857146
2016-05-26,60.857142857142854
2016-05-27,60.57142857142857
2016-05-28,60.285714285714285
2016-05-29,60.0
2016-05-30,60.142857142857146
2016-05-31,60.285714285714285
2016-06-01,60.42857142857143
2016-06-02,60.57142857142857
2016-06-03,60.714285714285715
2016-06-04,60.857142857142854
2016-06-05,61.0
2016-06-06,61.285714285714285
2016-06-07,61.57142857142857
2016-06-08,61.857142857142854
2016-06-09,62.142857142857146
2016-06-10,62.42857142857143
2016-06-11,62.714285714285715
2016-06-12,63.0
2016-06-13,62.57142857142857
2016-06-14,62.142857142857146
2016-06-15,61.714285714285715
2016-06-16,61.285714285714285
2016-06-17,60.857142857142854
2016-06-18,60.42857142857143
2016-06-19,60.0
2016-06-20,59.285714285714285
2016-06-21,58.57142857142857
2016-06-22,57.857142857142854
2016-06-23,57.142857142857146
2016-06-24,56.42857142857143
2016-06-25,55.714285714285715
2016-06-26,55.0
2016-06-27,54.57142857142857
2016-06-28,54.142857142857146
2016-06-29,53.714285714285715
2016-06-30,53.285714285714285
2016-07-01,52.857142857142854
2016-07-02,52.42857142857143
2016-07-03,52.0
2016-07-04,53.714285714285715
2016-07-05,55.42857142857143
2016-07-06,57.14285714285714
2016-07-07,58.857142857142854
2016-07-08,60.57142857142857
2016-07-09,62.285714285714285
2016-07-10,64.0
2016-07-11,62.857142857142854
2016-07-12,61.714285714285715
2016-07-13,60.57142857142857
2016-07-14,59.42857142857143
2016-07-15,58.285714285714285
2016-07-16,57.142857142857146
2016-07-17,56.0
2016-07-18,56.857142857142854
