date,android
2016-01-03,86.0
2016-01-04,85.42857142857143
2016-01-05,84.85714285714286
2016-01-06,84.28571428571429
2016-01-07,83.71428571428571
2016-01-08,83.14285714285714
2016-01-09,82.57142857142857
2016-01-10,82.0
2016-01-11,81.85714285714286
2016-01-12,81.71428571428571
2016-01-13,81.57142857142857
2016-01-14,81.42857142857143
2016-01-15,81.28571428571429
2016-01-16,81.14285714285714
2016-01-17,81.0
2016-01-18,81.0
2016-01-19,81.0
2016-01-20,81.0
2016-01-21,81.0
2016-01-22,81.0
2016-01-23,81.0
2016-01-24,81.0
2016-01-25,81.42857142857143
2016-01-26,81.85714285714286
2016-01-27,82.28571428571429
2016-01-28,82.71428571428571
2016-01-29,83.14285714285714
2016-01-30,83.57142857142857
2016-01-31,84.0
2016-02-01,83.71428571428571
2016-02-02,83.42857142857143
2016-02-03,83.14285714285714
2016-02-04,82.85714285714286
2016-02-05,82.57142857142857
2016-02-06,82.28571428571429
2016-02-07,82.0
2016-02-08,81.85714285714286
2016-02-09,81.71428571428571
2016-02-10,81.57142857142857
2016-02-11,81.42857142857143
2016-02-12,81.28571428571429
2016-02-13,81.14285714285714
2016-02-14,81.0
2016-02-15,81.0
2016-02-16,81.0
2016-02-17,81.0
2016-02-18,81.0
2016-02-19,81.0
2016-02-20,81.0
2016-02-21,81.0
2016-02-22,80.71428571428571
2016-02-23,80.42857142857143
2016-02-24,80.14285714285714
2016-02-25,79.85714285714286
2016-02-26,79.57142857142857
2016-02-27,79.28571428571429
2016-02-28,79.0
2016-02-29,79.42857142857143
2016-03-01,79.85714285714286
2016-03-02,80.28571428571429
2016-03-03,80.71428571428571
2016-03-04,81.14285714285714
2016-03-05,81.57142857142857
2016-03-06,82.0
2016-03-07,81.57142857142857
2016-03-08,81.14285714285714
2016-03-09,80.71428571428571
2016-03-10,80.28571428571429
2016-03-11,79.85714285714286
2016-03-12,79.42857142857143
2016-03-13,79.0
2016-03-14,79.57142857142857
2016-03-15,80.14285714285714
2016-03-16,80.71428571428571
2016-03-17,81.28571428571429
2016-03-18,81.85714285714286
2016-03-19,82.42857142857143
2016-03-20,83.0
2016-03-21,82.57142857142857
2016-03-22,82.14285714285714
2016-03-23,81.71428571428571
2016-03-24,81.28571428571429
2016-03-25,80.85714285714286
2016-03-26,80.42857142857143
2016-03-27,80.0
2016-03-28,79.71428571428571
2016-03-29,79.42857142857143
2016-03-30,79.14285714285714
2016-03-31,78.85714285714286
2016-04-01,78.57142857142857
2016-04-02,78.28571428571429
2016-04-03,78.0
2016-04-04,77.85714285714286
2016-04-05,77.71428571428571
2016-04-06,77.57142857142857
2016-04-07,77.42857142857143
2016-04-08,77.28571428571429
2016-04-09,77.14285714285714
2016-04-10,77.0
2016-04-11,76.71428571428571
2016-04-12,76.42857142857143
2016-04-13,76.14285714285714
2016-04-14,75.85714285714286
2016-04-15,75.57142857142857
2016-04-16,75.28571428571429
2016-04-17,75.0
2016-04-18,75.14285714285714
2016-04-19,75.28571428571429
2016-04-20,75.42857142857143
2016-04-21,75.57142857142857
2016-04-22,75.71428571428571
2016-04-23,75.85714285714286
2016-04-24,76.0
2016-04-25,76.0
2016-04-26,76.0
2016-04-27,76.0
2016-04-28,76.0
2016-04-29,76.0
2016-04-30,76.0
2016-05-01,76.0
2016-05-02,76.0
2016-05-03,76.0
2016-05-04,76.0
2016-05-05,76.0
2016-05-06,76.0
2016-05-07,76.0
2016-05-08,76.0
2016-05-09,76.14285714285714
2016-05-10,76.28571428571429
2016-05-11,76.42857142857143
2016-05-12,76.57142857142857
2016-05-13,76.71428571428571
2016-05-14,76.85714285714286
2016-05-15,77.0
2016-05-16,76.85714285714286
2016-05-17,76.71428571428571
2016-05-18,76.57142857142857
2016-05-19,76.42857142857143
2016-05-20,76.28571428571429
2016-05-21,76.14285714285714
2016-05-22,76.0
2016-05-23,76.14285714285714
2016-05-24,76.28571428571429
2016-05-25,76.42857142857143
2016-05-26,76.57142857142857
2016-05-27,76.71428571428571
2016-05-28,76.85714285714286
2016-05-29,77.0
2016-05-30,76.85714285714286
2016-05-31,76.71428571428571
2016-06-01,76.57142857142857
2016-06-02,76.42857142857143
2016-06-03,76.28571428571429
2016-06-04,76.14285714285714
2016-06-05,76.0
2016-06-06,76.14285714285714
2016-06-07,76.28571428571429
2016-06-08,76.42857142857143
2016-06-09,76.57142857142857
2016-06-10,76.71428571428571
2016-06-11,76.85714285714286
2016-06-12,77.0
2016-06-13,77.14285714285714
2016-06-14,77.28571428571429
2016-06-15,77.42857142857143
2016-06-16,77.57142857142857
2016-06-17,77.71428571428571
2016-06-18,77.85714285714286
2016-06-19,78.0
2016-06-20,78.0
2016-06-21,78.0
2016-06-22,78.0
2016-06-23,78.0
2016-06-24,78.0
2016-06-25,78.0
2016-06-26,78.0
2016-06-27,79.14285714285714
2016-06-28,80.28571428571429
2016-06-29,81.42857142857143
2016-06-30,82.57142857142857
2016-07-01,83.71428571428571
2016-07-02,84.85714285714286
2016-07-03,86.0
2016-07-04,88.0
2016-07-05,90.0
2016-07-06,92.0
2016-07-07,94.0
2016-07-08,96.0
2016-07-09,98.0
2016-07-10,100.0
2016-07-11,99.28571428571429
2016-07-12,98.57142857142857
2016-07-13,97.85714285714286
2016-07-14,97.14285714285714
2016-07-15,96.42857142857143
2016-07-16,95.71428571428571
2016-07-17,95.0
2016-07-18,94.42857142857143
2016-07-19,93.85714285714286
2016-07-20,93.28571428571429
2016-07-21,92.71428571428571
2016-07-22,92.14285714285714
2016-07-23,91.57142857142857
2016-07-24,91.0
