date,virtual reality
2016-01-03,25.0
2016-01-04,24.571428571428573
2016-01-05,24.142857142857142
2016-01-06,23.714285714285715
2016-01-07,23.285714285714285
2016-01-08,22.857142857142858
2016-01-09,22.42857142857143
2016-01-10,22.0
2016-01-11,21.571428571428573
2016-01-12,21.142857142857142
2016-01-13,20.714285714285715
2016-01-14,20.285714285714285
2016-01-15,19.857142857142858
2016-01-16,19.42857142857143
2016-01-17,19.0
2016-01-18,19.0
2016-01-19,19.0
2016-01-20,19.0
2016-01-21,19.0
2016-01-22,19.0
2016-01-23,19.0
2016-01-24,19.0
2016-01-25,19.142857142857142
2016-01-26,19.285714285714285
2016-01-27,19.428571428571427
2016-01-28,19.571428571428573
2016-01-29,19.714285714285715
2016-01-30,19.857142857142858
2016-01-31,20.0
2016-02-01,19.714285714285715
2016-02-02,19.428571428571427
2016-02-03,19.142857142857142
2016-02-04,18.857142857142858
2016-02-05,18.571428571428573
2016-02-06,18.285714285714285
2016-02-07,18.0
2016-02-08,18.285714285714285
2016-02-09,18.571428571428573
2016-02-10,18.857142857142858
2016-02-11,19.142857142857142
2016-02-12,19.428571428571427
2016-02-13,19.714285714285715
2016-02-14,20.0
2016-02-15,20.714285714285715
2016-02-16,21.428571428571427
2016-02-17,22.142857142857142
2016-02-18,22.857142857142858
2016-02-19,23.571428571428573
2016-02-20,24.285714285714285
2016-02-21,25.0
2016-02-22,25.142857142857142
2016-02-23,25.285714285714285
2016-02-24,25.428571428571427
2016-02-25,25.571428571428573
2016-02-26,25.714285714285715
2016-02-27,25.857142857142858
2016-02-28,26.0
2016-02-29,26.142857142857142
2016-03-01,26.285714285714285
2016-03-02,26.428571428571427
2016-03-03,26.571428571428573
2016-03-04,26.714285714285715
2016-03-05,26.857142857142858
2016-03-06,27.0
2016-03-07,27.571428571428573
2016-03-08,28.142857142857142
2016-03-09,28.714285714285715
2016-03-10,29.285714285714285
2016-03-11,29.857142857142858
2016-03-12,30.428571428571427
2016-03-13,31.0
2016-03-14,31.142857142857142
2016-03-15,31.285714285714285
2016-03-16,31.428571428571427
2016-03-17,31.571428571428573
2016-03-18,31.714285714285715
2016-03-19,31.857142857142858
2016-03-20,32.0
2016-03-21,32.142857142857146
2016-03-22,32.285714285714285
2016-03-23,32.42857142857143
2016-03-24,32.57142857142857
2016-03-25,32.714285714285715
2016-03-26,32.857142857142854
2016-03-27,33.0
2016-03-28,33.142857142857146
2016-03-29,33.285714285714285
2016-03-30,33.42857142857143
2016-03-31,33.57142857142857
2016-04-01,33.714285714285715
2016-04-02,33.857142857142854
2016-04-03,34.0
2016-04-04,33.714285714285715
2016-04-05,33.42857142857143
2016-04-06,33.142857142857146
2016-04-07,32.857142857142854
2016-04-08,32.57142857142857
2016-04-09,32.285714285714285
2016-04-10,32.0
2016-04-11,31.714285714285715
2016-04-12,31.428571428571427
2016-04-13,31.142857142857142
2016-04-14,30.857142857142858
2016-04-15,30.571428571428573
2016-04-16,30.285714285714285
2016-04-17,30.0
2016-04-18,30.285714285714285
2016-04-19,30.571428571428573
2016-04-20,30.857142857142858
2016-04-21,31.142857142857142
2016-04-22,31.428571428571427
2016-04-23,31.714285714285715
2016-04-24,32.0
2016-04-25,31.285714285714285
2016-04-26,30.571428571428573
2016-04-27,29.857142857142858
2016-04-28,29.142857142857142
2016-04-29,28.428571428571427
2016-04-30,27.714285714285715
2016-05-01,27.0
2016-05-02,27.0
2016-05-03,27.0
2016-05-04,27.0
2016-05-05,27.0
2016-05-06,27.0
2016-05-07,27.0
2016-05-08,27.0
2016-05-09,26.857142857142858
2016-05-10,26.714285714285715
2016-05-11,26.571428571428573
2016-05-12,26.428571428571427
2016-05-13,26.285714285714285
2016-05-14,26.142857142857142
2016-05-15,26.0
2016-05-16,26.142857142857142
2016-05-17,26.285714285714285
2016-05-18,26.428571428571427
2016-05-19,26.571428571428573
2016-05-20,26.714285714285715
2016-05-21,26.857142857142858
2016-05-22,27.0
2016-05-23,27.0
2016-05-24,27.0
2016-05-25,27.0
2016-05-26,27.0
2016-05-27,27.0
2016-05-28,27.0
2016-05-29,27.0
2016-05-30,27.142857142857142
2016-05-31,27.285714285714285
2016-06-01,27.428571428571427
2016-06-02,27.571428571428573
2016-06-03,27.714285714285715
2016-06-04,27.857142857142858
2016-06-05,28.0
2016-06-06,28.571428571428573
2016-06-07,29.142857142857142
2016-06-08,29.714285714285715
2016-06-09,30.285714285714285
2016-06-10,30.857142857142858
2016-06-11,31.428571428571427
2016-06-12,32.0
2016-06-13,31.714285714285715
2016-06-14,31.428571428571427
2016-06-15,31.142857142857142
2016-06-16,30.857142857142858
2016-06-17,30.571428571428573
2016-06-18,30.285714285714285
2016-06-19,30.0
2016-06-20,29.428571428571427
2016-06-21,28.857142857142858
2016-06-22,28.285714285714285
2016-06-23,27.714285714285715
2016-06-24,27.142857142857142
2016-06-25,26.571428571428573
2016-06-26,26.0
2016-06-27,26.142857142857142
2016-06-28,26.285714285714285
2016-06-29,26.428571428571427
2016-06-30,26.571428571428573
2016-07-01,26.714285714285715
2016-07-02,26.857142857142858
2016-07-03,27.0
2016-07-04,26.857142857142858
2016-07-05,26.714285714285715
2016-07-06,26.571428571428573
2016-07-07,26.428571428571427
2016-07-08,26.285714285714285
2016-07-09,26.142857142857142
2016-07-10,26.0
2016-07-11,26.0
2016-07-12,26.0
2016-07-13,26.0
2016-07-14,26.0
2016-07-15,26.0
2016-07-16,26.0
2016-07-17,26.0
2016-07-18,25.714285714285715
2016-07-19,25.428571428571427
2016-07-20,25.142857142857142
