date,google play
2016-01-03,85.0
2016-01-04,84.42857142857143
2016-01-05,83.85714285714286
2016-01-06,83.28571428571429
2016-01-07,82.71428571428571
2016-01-08,82.14285714285714
2016-01-09,81.57142857142857
2016-01-10,81.0
2016-01-11,81.28571428571429
2016-01-12,81.57142857142857
2016-01-13,81.85714285714286
2016-01-14,82.14285714285714
2016-01-15,82.42857142857143
2016-01-16,82.71428571428571
2016-01-17,83.0
2016-01-18,83.14285714285714
2016-01-19,83.28571428571429
2016-01-20,83.42857142857143
2016-01-21,83.57142857142857
2016-01-22,83.71428571428571
2016-01-23,83.85714285714286
2016-01-24,84.0
2016-01-25,84.42857142857143
2016-01-26,84.85714285714286
2016-01-27,85.28571428571429
2016-01-28,85.71428571428571
2016-01-29,86.14285714285714
2016-01-30,86.57142857142857
2016-01-31,87.0
2016-02-01,87.28571428571429
2016-02-02,87.57142857142857
2016-02-03,87.85714285714286
2016-02-04,88.14285714285714
2016-02-05,88.42857142857143
2016-02-06,88.71428571428571
2016-02-07,89.0
2016-02-08,88.14285714285714
2016-02-09,87.28571428571429
2016-02-10,86.42857142857143
2016-02-11,85.57142857142857
2016-02-12,84.71428571428571
2016-02-13,83.85714285714286
2016-02-14,83.0
2016-02-15,83.42857142857143
2016-02-16,83.85714285714286
2016-02-17,84.28571428571429
2016-02-18,84.71428571428571
2016-02-19,85.14285714285714
2016-02-20,85.57142857142857
2016-02-21,86.0
2016-02-22,85.28571428571429
2016-02-23,84.57142857142857
2016-02-24,83.85714285714286
2016-02-25,83.14285714285714
2016-02-26,82.42857142857143
2016-02-27,81.71428571428571
2016-02-28,81.0
2016-02-29,81.28571428571429
2016-03-01,81.57142857142857
2016-03-02,81.85714285714286
2016-03-03,82.14285714285714
2016-03-04,82.42857142857143
2016-03-05,82.71428571428571
2016-03-06,83.0
2016-03-07,83.28571428571429
2016-03-08,83.57142857142857
2016-03-09,83.85714285714286
2016-03-10,84.14285714285714
2016-03-11,84.42857142857143
2016-03-12,84.71428571428571
2016-03-13,85.0
2016-03-14,87.14285714285714
2016-03-15,89.28571428571429
2016-03-16,91.42857142857143
2016-03-17,93.57142857142857
2016-03-18,95.71428571428571
2016-03-19,97.85714285714286
2016-03-20,100.0
2016-03-21,98.14285714285714
2016-03-22,96.28571428571429
2016-03-23,94.42857142857143
2016-03-24,92.57142857142857
2016-03-25,90.71428571428571
2016-03-26,88.85714285714286
2016-03-27,87.0
2016-03-28,86.28571428571429
2016-03-29,85.57142857142857
2016-03-30,84.85714285714286
2016-03-31,84.14285714285714
2016-04-01,83.42857142857143
2016-04-02,82.71428571428571
2016-04-03,82.0
2016-04-04,81.57142857142857
2016-04-05,81.14285714285714
2016-04-06,80.71428571428571
2016-04-07,80.28571428571429
2016-04-08,79.85714285714286
2016-04-09,79.42857142857143
2016-04-10,79.0
2016-04-11,79.0
2016-04-12,79.0
2016-04-13,79.0
2016-04-14,79.0
2016-04-15,79.0
2016-04-16,79.0
2016-04-17,79.0
2016-04-18,79.0
2016-04-19,79.0
2016-04-20,79.0
2016-04-21,79.0
2016-04-22,79.0
2016-04-23,79.0
2016-04-24,79.0
2016-04-25,79.42857142857143
2016-04-26,79.85714285714286
2016-04-27,80.28571428571429
2016-04-28,80.71428571428571
2016-04-29,81.14285714285714
2016-04-30,81.57142857142857
2016-05-01,82.0
2016-05-02,81.71428571428571
2016-05-03,81.42857142857143
2016-05-04,81.14285714285714
2016-05-05,80.85714285714286
2016-05-06,80.57142857142857
2016-05-07,80.28571428571429
2016-05-08,80.0
2016-05-09,80.14285714285714
2016-05-10,80.28571428571429
2016-05-11,80.42857142857143
2016-05-12,80.57142857142857
2016-05-13,80.71428571428571
2016-05-14,80.85714285714286
2016-05-15,81.0
2016-05-16,80.71428571428571
2016-05-17,80.42857142857143
2016-05-18,80.14285714285714
2016-05-19,79.85714285714286
2016-05-20,79.57142857142857
2016-05-21,79.28571428571429
2016-05-22,79.0
2016-05-23,78.85714285714286
2016-05-24,78.71428571428571
2016-05-25,78.57142857142857
2016-05-26,78.42857142857143
2016-05-27,78.28571428571429
2016-05-28,78.14285714285714
2016-05-29,78.0
2016-05-30,77.85714285714286
2016-05-31,77.71428571428571
2016-06-01,77.57142857142857
2016-06-02,77.42857142857143
2016-06-03,77.28571428571429
2016-06-04,77.14285714285714
2016-06-05,77.0
2016-06-06,77.28571428571429
2016-06-07,77.57142857142857
2016-06-08,77.85714285714286
2016-06-09,78.14285714285714
2016-06-10,78.42857142857143
2016-06-11,78.71428571428571
2016-06-12,79.0
2016-06-13,78.71428571428571
2016-06-14,78.42857142857143
2016-06-15,78.14285714285714
2016-06-16,77.85714285714286
2016-06-17,77.57142857142857
2016-06-18,77.28571428571429
2016-06-19,77.0
2016-06-20,77.14285714285714
2016-06-21,77.28571428571429
2016-06-22,77.42857142857143
2016-06-23,77.57142857142857
2016-06-24,77.71428571428571
2016-06-25,77.85714285714286
2016-06-26,78.0
2016-06-27,79.42857142857143
2016-06-28,80.85714285714286
2016-06-29,82.28571428571429
2016-06-30,83.71428571428571
2016-07-01,85.14285714285714
2016-07-02,86.57142857142857
2016-07-03,88.0
2016-07-04,89.28571428571429
2016-07-05,90.57142857142857
2016-07-06,91.85714285714286
2016-07-07,93.14285714285714
2016-07-08,94.42857142857143
2016-07-09,95.71428571428572
2016-07-10,97.0
2016-07-11,96.28571428571429
2016-07-12,95.57142857142857
2016-07-13,94.85714285714286
2016-07-14,94.14285714285714
2016-07-15,93.42857142857143
2016-07-16,92.71428571428571
2016-07-17,92.0
