date,apple
2016-01-03,52.0
2016-01-04,51.285714285714285
2016-01-05,50.57142857142857
2016-01-06,49.857142857142854
2016-01-07,49.142857142857146
2016-01-08,48.42857142857143
2016-01-09,47.714285714285715
2016-01-10,47.0
2016-01-11,46.857142857142854
2016-01-12,46.714285714285715
2016-01-13,46.57142857142857
2016-01-14,46.42857142857143
2016-01-15,46.285714285714285
2016-01-16,46.142857142857146
2016-01-17,46.0
2016-01-18,46.42857142857143
2016-01-19,46.857142857142854
2016-01-20,47.285714285714285
2016-01-21,47.714285714285715
2016-01-22,48.142857142857146
2016-01-23,48.57142857142857
2016-01-24,49.0
2016-01-25,48.714285714285715
2016-01-26,48.42857142857143
2016-01-27,48.142857142857146
2016-01-28,47.857142857142854
2016-01-29,47.57142857142857
2016-01-30,47.285714285714285
2016-01-31,47.0
2016-02-01,46.857142857142854
2016-02-02,46.714285714285715
2016-02-03,46.57142857142857
2016-02-04,46.42857142857143
2016-02-05,46.285714285714285
2016-02-06,46.142857142857146
2016-02-07,46.0
2016-02-08,46.142857142857146
2016-02-09,46.285714285714285
2016-02-10,46.42857142857143
2016-02-11,46.57142857142857
2016-02-12,46.714285714285715
2016-02-13,46.857142857142854
2016-02-14,47.0
2016-02-15,47.0
2016-02-16,47.0
2016-02-17,47.0
2016-02-18,47.0
2016-02-19,47.0
2016-02-20,47.0
2016-02-21,47.0
2016-02-22,46.857142857142854
2016-02-23,46.714285714285715
2016-02-24,46.57142857142857
2016-02-25,46.42857142857143
2016-02-26,46.285714285714285
2016-02-27,46.142857142857146
2016-02-28,46.0
2016-02-29,45.857142857142854
2016-03-01,45.714285714285715
2016-03-02,45.57142857142857
2016-03-03,45.42857142857143
2016-03-04,45.285714285714285
2016-03-05,45.142857142857146
2016-03-06,45.0
2016-03-07,45.0
2016-03-08,45.0
2016-03-09,45.0
2016-03-10,45.0
2016-03-11,45.0
2016-03-12,45.0
2016-03-13,45.0
2016-03-14,47.57142857142857
2016-03-15,50.142857142857146
2016-03-16,52.714285714285715
2016-03-17,55.285714285714285
2016-03-18,57.85714285714286
2016-03-19,60.42857142857143
2016-03-20,63.0
2016-03-21,61.285714285714285
2016-03-22,59.57142857142857
2016-03-23,57.85714285714286
2016-03-24,56.142857142857146
2016-03-25,54.42857142857143
2016-03-26,52.714285714285715
2016-03-27,51.0
2016-03-28,50.714285714285715
2016-03-29,50.42857142857143
2016-03-30,50.142857142857146
2016-03-31,49.857142857142854
2016-04-01,49.57142857142857
2016-04-02,49.285714285714285
2016-04-03,49.0
2016-04-04,48.42857142857143
2016-04-05,47.857142857142854
2016-04-06,47.285714285714285
2016-04-07,46.714285714285715
2016-04-08,46.142857142857146
2016-04-09,45.57142857142857
2016-04-10,45.0
2016-04-11,45.0
2016-04-12,45.0
2016-04-13,45.0
2016-04-14,45.0
2016-04-15,45.0
2016-04-16,45.0
2016-04-17,45.0
2016-04-18,45.42857142857143
2016-04-19,45.857142857142854
2016-04-20,46.285714285714285
2016-04-21,46.714285714285715
2016-04-22,47.142857142857146
2016-04-23,47.57142857142857
2016-04-24,48.0
2016-04-25,47.57142857142857
2016-04-26,47.142857142857146
2016-04-27,46.714285714285715
2016-04-28,46.285714285714285
2016-04-29,45.857142857142854
2016-04-30,45.42857142857143
2016-05-01,45.0
2016-05-02,45.0
2016-05-03,45.0
2016-05-04,45.0
2016-05-05,45.0
2016-05-06,45.0
2016-05-07,45.0
2016-05-08,45.0
2016-05-09,44.857142857142854
2016-05-10,44.714285714285715
2016-05-11,44.57142857142857
2016-05-12,44.42857142857143
2016-05-13,44.285714285714285
2016-05-14,44.142857142857146
2016-05-15,44.0
2016-05-16,43.857142857142854
2016-05-17,43.714285714285715
2016-05-18,43.57142857142857
2016-05-19,43.42857142857143
2016-05-20,43.285714285714285
2016-05-21,43.142857142857146
2016-05-22,43.0
2016-05-23,43.0
2016-05-24,43.0
2016-05-25,43.0
2016-05-26,43.0
2016-05-27,43.0
2016-05-28,43.0
2016-05-29,43.0
2016-05-30,43.0
2016-05-31,43.0
2016-06-01,43.0
2016-06-02,43.0
2016-06-03,43.0
2016-06-04,43.0
2016-06-05,43.0
2016-06-06,43.714285714285715
2016-06-07,44.42857142857143
2016-06-08,45.142857142857146
2016-06-09,45.857142857142854
2016-06-10,46.57142857142857
2016-06-11,47.285714285714285
2016-06-12,48.0
2016-06-13,47.142857142857146
2016-06-14,46.285714285714285
2016-06-15,45.42857142857143
2016-06-16,44.57142857142857
2016-06-17,43.714285714285715
2016-06-18,42.85714285714286
2016-06-19,42.0
2016-06-20,42.142857142857146
2016-06-21,42.285714285714285
2016-06-22,42.42857142857143
2016-06-23,42.57142857142857
2016-06-24,42.714285714285715
2016-06-25,42.857142857142854
2016-06-26,43.0
2016-06-27,43.285714285714285
2016-06-28,43.57142857142857
2016-06-29,43.857142857142854
2016-06-30,44.142857142857146
2016-07-01,44.42857142857143
2016-07-02,44.714285714285715
2016-07-03,45.0
2016-07-04,45.285714285714285
2016-07-05,45.57142857142857
2016-07-06,45.857142857142854
2016-07-07,46.142857142857146
2016-07-08,46.42857142857143
2016-07-09,46.714285714285715
2016-07-10,47.0
2016-07-11,46.857142857142854
2016-07-12,46.714285714285715
2016-07-13,46.57142857142857
2016-07-14,46.42857142857143
2016-07-15,46.285714285714285
2016-07-16,46.142857142857146
2016-07-17,46.0
2016-07-18,46.0
2016-07-19,46.0
2016-07-20,46.0
2016-07-21,46.0
2016-07-22,46.0
2016-07-23,46.0
2016-07-24,46.0
2016-07-25,46.142857142857146
